SeasonYear,Lineno_renamed,DayType,Season,HourRange,direction_updated,Average_Peak_Passenger_Load,Average_Peak_Load_Factor
2022,3,Sat,Summer,18,SOUTH,31.05549451,44.36499215
2022,3,Sat,Summer,21,NORTH,22.87916667,32.68452381
2022,3,Sat,Summer,21,SOUTH,25.3452381,36.20748299
2022,3,Sat,Summer,24,NORTH,NULL,NULL
2022,3,Sat,Summer,24,SOUTH,NULL,NULL
2022,3,Sun/Hol,Fall,4,NORTH,11.17848485,15.96926407
2022,3,Sun/Hol,Fall,4,SOUTH,12.21166667,17.4452381
2022,3,Sun/Hol,Fall,6,NORTH,22.1820025,31.688575
2022,3,Sun/Hol,Fall,6,SOUTH,14.56638032,20.80911475
2022,3,Sun/Hol,Fall,9,NORTH,30.92402034,44.17717191
2022,3,Sun/Hol,Fall,9,SOUTH,26.41380871,37.73401245
2022,3,Sun/Hol,Fall,15,NORTH,34.95841662,49.94059517
2022,3,Sun/Hol,Fall,15,SOUTH,44.35575598,63.36536568
2022,3,Sun/Hol,Fall,18,NORTH,24.20072776,34.57246823
2022,3,Sun/Hol,Fall,18,SOUTH,26.08705527,37.26722182
2022,3,Sun/Hol,Fall,21,NORTH,14.78592109,21.12274441
2022,3,Sun/Hol,Fall,21,SOUTH,21.36477453,30.52110647
2022,3,Sun/Hol,Fall,24,NORTH,NULL,NULL
2022,3,Sun/Hol,Fall,24,SOUTH,12.66116577,18.08737967
2022,3,Sun/Hol,Summer,4,NORTH,NULL,NULL
2022,3,Sun/Hol,Summer,4,SOUTH,NULL,NULL
2022,3,Sun/Hol,Summer,6,NORTH,NULL,NULL
2022,3,Sun/Hol,Summer,6,SOUTH,NULL,NULL
2022,3,Sun/Hol,Summer,9,NORTH,37.55,53.64285714
2022,3,Sun/Hol,Summer,9,SOUTH,37.51289683,53.58985261
2022,3,Sun/Hol,Summer,15,NORTH,44.95277778,64.21825397
2022,3,Sun/Hol,Summer,15,SOUTH,55.17361111,78.81944444
2022,3,Sun/Hol,Summer,18,NORTH,27.17424242,38.82034632
2022,3,Sun/Hol,Summer,18,SOUTH,27.89027778,39.84325397
2022,3,Sun/Hol,Summer,21,NORTH,17.99242424,25.7034632
2022,3,Sun/Hol,Summer,21,SOUTH,23.43333333,33.47619048
2022,3,Sun/Hol,Summer,24,NORTH,NULL,NULL
2022,3,Sun/Hol,Summer,24,SOUTH,NULL,NULL
