Year,line_no,Annual_Boardings,Avg Daily Brdgs MF,Avg Daily Brdgs Sat,Avg Daily Brdgs SunHol,Annual_Service_Cost,Annual_Revenue_Hours,Annual_Service_Hours,Average_Boarding_Per_Revenue_Hour,Perc_Trips_w_Overcrowding,Average_Passenger_Load_Bi_Directional,Average_Peak_Load_Factor,Total_Capacity_Utilization,Percentage_of_Revenue_Hours_with_Overcrowding,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2019,112,1562392.949,4931.958857,3524.696164,2384.86054,1941378.9,17054.38056,17975.73056,91.61241264,6.577531889,25.33615977,50.67231954,29.37422043,7.862567,1340.900671,93.87236487,0.337492832,18.27577587
2019,116,1194783.317,4369.900901,1111.002839,725.970137,2352848.34,21576.09944,23552.54944,55.37531563,21.61349977,29.93762975,64.66162086,34.48919387,23.855921,5147.172707,84.61035947,0.707650889,26.58659267
2019,119,3245370.829,9904.163711,7688.532629,5932.500575,3800912.58,33489.635,35193.635,96.9067244,2.230326834,26.33609488,52.67218976,35.58824986,2.570133,860.7171091,88.94856237,3.494056131,16.82022636
2019,123,2842842.331,9027.496739,5594.560676,4775.656907,4492465.2,38958.61667,41596.9,72.97082326,9.961066187,30.80658355,61.6131671,31.50930843,11.537068,4494.655605,87.68738226,1.456028101,21.03081926
2019,128,922689.2423,3085.67327,1548.671795,1192.805978,1865586.66,16542.08389,17273.95056,55.77829544,2.603837234,19.55507154,39.11014308,24.08563478,2.447699,404.8840453,94.41181925,0.197311322,21.64082383
2019,130,4344707.361,14005.33692,8571.327898,6498.65137,6852825,60449.81667,63452.08333,71.87296175,16.38829728,33.0762395,66.15247899,45.37974256,21.272141,12858.94545,84.62839233,4.020145119,18.29000021
2019,131,57348.78223,181.6513331,117.7407051,95.25546926,370565.65,4391.766667,5370.516667,13.0582489,0,3.178897679,13.245407,5.600150292,0,0,90.21149297,0.05985171,21.58544148
2019,132,56216.67522,179.4836935,112.3587454,90.03684322,199007.5,2884.166667,2884.166667,19.49147942,0,4.022372205,16.75988419,9.025561651,0,0,87.46783504,0.064518336,22.06666239
2019,134,571122.5644,1869.633085,1002.131771,842.0886454,1869125.8,17080.39167,19094.425,33.43732249,0.288033517,12.37894491,29.41578208,12.50819848,0.316077,53.97403767,86.08933856,0.208219247,22.90901419
2019,136,647506.716,2119.874788,1141.04822,949.4079732,1883296.07,17757.57333,19355.24,36.46369376,0.583657588,16.90027488,39.97521299,16.04362783,0.709479,125.9722252,76.36695794,0.116443577,27.04258686
2019,143,772876.9351,3101.979659,NULL,NULL,1547523,13451.78333,14328.91667,57.45535115,3.306451613,26.73298144,35.64397525,30.23078621,4.097436,551.1733703,93.52308263,0.752273236,31.50280245
2019,144,2222651.374,7345.238139,3768.912025,3095.748393,4788296.34,41477.24389,44336.07722,53.58724846,4.377500588,29.16261976,58.32523953,34.52259563,4.776753,1981.243509,81.61252358,2.382684784,24.43486823
2019,145,2102648.724,7269.55018,3010.049435,2171.415163,3418376.4,28539.3,31651.63333,73.67555349,1.803454073,28.46875608,37.95834144,33.3993577,2.073297,591.6767676,95.41847639,1.508455254,30.40204552
2019,146,125361.3525,395.1024867,272.6679029,199.2749024,356480.45,4845.683333,5166.383333,25.87072739,0.041841004,6.000116947,25.00048728,17.87562277,0.05614,2.71842835,89.37622664,0.041919613,24.87198129
2019,147,426024.3537,1353.814714,848.4150412,699.0509468,844222.13,11676.85333,12235.10333,36.48451698,1.426549058,11.54801268,48.11671952,26.79312681,1.584757,185.0430948,90.91633466,0.442680847,24.16912097
2019,148,303543.6761,977.127812,561.8742903,483.8834067,750339.3117,9997.866111,10874.48278,30.36084628,0.063331222,7.655683682,31.89868201,16.05439081,0.074778,7.468405985,89.22076668,0.180067675,27.96388795
2019,150,33105.54762,327.5833333,322,377.7142857,108527.4,966.5,1004.883333,34.25302392,NULL,NULL,NULL,NULL,NULL,NULL,90.7997909,0,29.48093401
2019,151,446590.9565,1401.726835,873.4679487,820.6771793,1645187.1,14745.39722,15233.21389,30.28680406,0.10359116,11.75096264,23.50192529,12.75610472,0.157867,23.26823682,92.25387643,0.173056261,26.96293767
2019,152,1088969.997,3556.911339,1979.544963,1577.266159,2367140.4,20894.93333,21917.96667,52.11646191,2.41836621,25.5741162,51.14823241,25.72250187,2.68994,562.0528117,90.85741967,0.385560142,25.40811051
2019,153,696974.233,2386.06561,908.3621434,873.7797476,2027934.17,19160.19556,20314.84556,36.37615446,0.311318657,15.85333017,36.25885671,19.83360074,0.429547,82.29303991,84.50507802,0.406608858,26.31439839
2019,155,895182.0037,2879.26661,1716.478092,1399.458314,1707616.8,14855.86667,15811.26667,60.25781086,0.787207872,19.05985478,38.11970956,23.07394393,1.005876,149.4203069,93.89318468,0.236027673,19.47965835
2019,156,824523.4998,2682.836188,1886.237179,916.0183971,2069638.2,18450.35,19163.31667,44.68877283,1.368481706,20.88360389,41.76720778,20.32577291,1.553008,286.5339355,76.69770968,0.137980292,24.3232952
2019,157,537033.1809,1710.797054,1038.878002,900.1512287,1562287.15,17727.76667,19074.85,30.29333536,0.627643608,14.38223578,44.79057269,21.29108995,0.690363,122.3747733,90.7252694,0.024626252,23.84427523
2019,159,953408.6359,3164.016894,1887.595986,1041.634778,2869334.28,25488.96,26567.91,37.40476802,4.13338405,20.9059172,41.8118344,22.49969592,3.692339,941.1288701,80.07789575,0.659598451,25.57058829
2019,160,1796127.485,5513.644821,4039.879565,3354.621539,6812562.72,62255.80111,63079.28444,28.85076496,0.176618436,13.71546555,27.4309311,15.69292872,0.220259,137.087274,84.61830093,0.530879484,26.03902139
2019,169,330215.7821,866.4340744,1002.401007,991.4400859,1187654.1,14321.5,14689.91667,23.0573461,0.097359134,8.268675781,28.0338625,16.41470344,0.113233,16.211938,92.74675531,0.067542994,31.03947181
2019,170,157750.608,543.9617704,208.9019109,178.5843363,684622.6,9357.25,9922.066667,16.85865057,0.37037037,4.69476836,19.56153483,9.990454195,0.487312,45.59787925,91.19635786,0.898462641,24.58745892
2019,175,51813.7735,207.5633474,NULL,NULL,217299.4,2982.6,3149.266667,17.37201552,0.462962963,8.566391781,35.69329909,20.14117907,0.504115,15.0352866,85.09936575,0.005193888,21.21500574
2019,179,3650.5,NULL,172,148.5,25372.8,226.1166667,234.9333333,16.14432078,NULL,NULL,NULL,NULL,NULL,NULL,81.45695364,0,30.11481855
2019,180,925936.101,3140.295048,1368.310143,1135.377158,2288643.95,24598.53333,27084.15,37.64192314,0.535828535,14.02458147,40.06090499,19.65769468,0.652199,160.4070359,89.00078286,0.22656984,22.86268108
2019,181,74171.67881,250.5103947,113.5970584,90.58404631,469329.95,6403.483333,6801.883333,11.58302051,0.039331367,3.8354506,15.98104417,8.008766971,0.050494,3.2273556,92.73879921,0.012790156,32.16300542
2019,182,127982.4387,431.5369156,185.2727016,172.3617414,875190.25,11848.51667,12683.91667,10.80155789,0.218514104,5.904514677,24.60214449,8.939091562,0.24879,29.46726095,78.36119186,0.022826643,34.54544177
2019,183,676344.758,2242.827366,1164.550993,901.6496003,2860387.34,27441.56056,29418.71056,24.64673088,0.192784357,13.16065009,29.45460269,13.55194909,0.252493,69.26249884,86.17732598,0.209788283,24.56233048
2019,186,352431.3202,1136.201269,668.8764641,544.1346143,930278.7,12612.28333,13482.3,27.94349848,2.102102102,9.073558569,37.80649404,21.09868314,2.730908,344.4288456,87.17268901,1.941228291,24.1221469
2019,187,311616.402,1015.578541,569.2514041,457.6700378,955444.15,13094.75,13847.01667,23.79704859,0.822368421,7.914496186,32.97706744,20.65589949,0.995018,130.2927625,91.34346634,1.648871101,24.17895096
2019,188,846702.0856,2754.451539,1597.412088,1238.869789,2683770.66,24297.76167,24849.72833,34.84691706,1.354551482,18.51065887,37.02131774,19.50213252,1.667605,405.1894736,89.52380952,0.376113937,25.23365066
2019,189,135386.9332,437.6722854,240.1246233,216.176291,590865.05,6693.466667,7132.583333,20.22672854,0,5.839617425,17.78513931,11.59509717,0,0,88.28323313,0.058642806,20.61490623
2019,191,261823.2803,847.1980252,472.0817766,415.6702671,1141556.4,10291.35,10569.96667,25.44110154,1.115075825,10.31203979,20.62407958,12.2770287,1.419782,146.106296,90.31043391,0.071915516,23.10124362
2019,209,238836.7746,657.9879392,766.899205,558.5576893,836775,7376.45,7747.916667,32.3782815,0.843373494,18.45456065,36.9091213,24.49982114,1.05452,77.78466525,84.72059278,0.114269671,24.81292291
2019,210,1302820.531,4155.235229,2595.399667,2114.478298,3495103.2,29302.1,32362.06667,44.46167787,5.260243632,30.7732017,61.5464034,42.6367553,5.686794,1666.322521,83.1053481,1.392114219,22.35079369
