Calendar_Year,Station_Name,Day_Type,Average_Daily_Station_Boardings
2018,Stadium-Chinatown Station,MF,17208
2018,Stadium-Chinatown Station,Sat,14289
2018,Stadium-Chinatown Station,Sun/Hol,10194
2018,Surrey Central Station,MF,13108
2018,Surrey Central Station,Sat,9274
2018,Surrey Central Station,Sun/Hol,7149
2018,Templeton Station,MF,3220
2018,Templeton Station,Sat,3349
2018,Templeton Station,Sun/Hol,3271
2018,Vancouver City Centre Station,MF,18952
2018,Vancouver City Centre Station,Sat,14475
2018,Vancouver City Centre Station,Sun/Hol,12102
2018,VCC-Clark Station,MF,3648
2018,VCC-Clark Station,Sat,1247
2018,VCC-Clark Station,Sun/Hol,830
2018,Waterfront Station,MF,39262
2018,Waterfront Station,Sat,27389
2018,Waterfront Station,Sun/Hol,21858
2018,Yaletown-Roundhouse Station,MF,11002
2018,Yaletown-Roundhouse Station,Sat,8539
2018,Yaletown-Roundhouse Station,Sun/Hol,6615
2018,YVR-Airport Station,MF,8477
2018,YVR-Airport Station,Sat,7399
2018,YVR-Airport Station,Sun/Hol,8066
2019,22nd Street Station,MF,10924
2019,22nd Street Station,Sat,7167
2019,22nd Street Station,Sun/Hol,5617
2019,29th Avenue Station,MF,7579
2019,29th Avenue Station,Sat,6177
2019,29th Avenue Station,Sun/Hol,4855
2019,Aberdeen Station,MF,4422
2019,Aberdeen Station,Sat,4918
2019,Aberdeen Station,Sun/Hol,3933
2019,Braid Station,MF,4260
2019,Braid Station,Sat,2700
2019,Braid Station,Sun/Hol,1958
2019,Brentwood Town Centre Station,MF,5965
2019,Brentwood Town Centre Station,Sat,3164
2019,Brentwood Town Centre Station,Sun/Hol,2225
2019,Bridgeport Station,MF,11889
2019,Bridgeport Station,Sat,9275
2019,Bridgeport Station,Sun/Hol,7736
2019,Broadway-City Hall Station,MF,14953
2019,Broadway-City Hall Station,Sat,10113
2019,Broadway-City Hall Station,Sun/Hol,7800
2019,Burquitlam Station,MF,4558
2019,Burquitlam Station,Sat,3069
2019,Burquitlam Station,Sun/Hol,2297
2019,Burrard Station,MF,25145
2019,Burrard Station,Sat,12964
2019,Burrard Station,Sun/Hol,10458
2019,Columbia Station,MF,5156
2019,Columbia Station,Sat,3608
2019,Columbia Station,Sun/Hol,2632
2019,Commercial-Broadway Station,MF,25147
2019,Commercial-Broadway Station,Sat,18246
2019,Commercial-Broadway Station,Sun/Hol,13942
2019,Coquitlam Central Station,MF,4778
2019,Coquitlam Central Station,Sat,3572
2019,Coquitlam Central Station,Sun/Hol,2568
2019,Edmonds Station,MF,12577
2019,Edmonds Station,Sat,8218
2019,Edmonds Station,Sun/Hol,6368
2019,Gateway Station,MF,6004
2019,Gateway Station,Sat,4162
2019,Gateway Station,Sun/Hol,3266
2019,Gilmore Station,MF,4188
2019,Gilmore Station,Sat,2002
2019,Gilmore Station,Sun/Hol,1434
2019,Granville Station,MF,20316
2019,Granville Station,Sat,15434
2019,Granville Station,Sun/Hol,11982
2019,Holdom Station,MF,3300
2019,Holdom Station,Sat,2279
2019,Holdom Station,Sun/Hol,1674
2019,Inlet Centre Station,MF,2208
