WKT,name,description
"LINESTRING (-123.0328685 49.2607496, -123.0291166 49.2619731, -123.0276253 49.2623687, -123.0263378 49.2624842, -123.0169662 49.2623757, -123.0163439 49.2624317, -123.0158021 49.2626102, -123.0154266 49.2628973, -123.015153 49.2631809, -123.0147131 49.2641086, -123.014461 49.2643921, -123.0136081 49.2649557)",Rupert Gilmore,
"LINESTRING (-123.0136081 49.2649557, -123.0120512 49.2658754, -123.0113055 49.266201, -123.0106779 49.266341, -123.0073895 49.2665125, -123.0054744 49.2665125, -123.0015852 49.26639)",Gilmore Brentwood,
"LINESTRING (-123.0015852 49.26639, -122.9980823 49.26632, -122.9969289 49.2662045, -122.99562 49.2659664, -122.9946329 49.2656759, -122.9931953 49.2652068, -122.9923209 49.2650213, -122.9914411 49.2649128, -122.9847088 49.2649023, -122.9836359 49.2648603, -122.9821607 49.2647447)",Brentwood Holdom,
"LINESTRING (-122.9821607 49.2647447, -122.9801502 49.2645923, -122.9792704 49.2644207, -122.9781707 49.2640952, -122.9683431 49.2605173, -122.9671951 49.2599922, -122.9661812 49.2595511, -122.9654946 49.259369, -122.9639925 49.2591905)",Holdom Sperling,
"LINESTRING (-122.9639925 49.2591905, -122.9583777 49.2586344, -122.9566879 49.2585783, -122.9541988 49.2585433, -122.9532064 49.2584243, -122.9521281 49.2581652, -122.9504705 49.257675, -122.9432232 49.2552977, -122.9422093 49.2550106, -122.9412652 49.2548426, -122.9391838 49.2546395)",Sperling Lake City Way,
"LINESTRING (-122.9391838 49.2546395, -122.9370279 49.2544604, -122.9346783 49.2543834, -122.925768 49.2543729, -122.9245342 49.2542503, -122.9210634 49.2537741, -122.9196418 49.2536516, -122.9180969 49.2534485)",Lake City Way Production,
"LINESTRING (-122.9180969 49.2534485, -122.9094494 49.252181, -122.9084356 49.2519674, -122.9068745 49.2516417, -122.9039509 49.2512005, -122.9023899 49.2508364, -122.9008181 49.2502656, -122.8993214 49.2495443, -122.8977657 49.248991, -122.8969021 49.2485112)",Production Lougheed,
"LINESTRING (-122.8969021 49.2485112, -122.894767 49.2473964, -122.8943915 49.2472598, -122.8940696 49.2472213, -122.8937934 49.247237, -122.8935198 49.2473001, -122.8932301 49.2474367, -122.8930155 49.2476012, -122.8928734 49.2478551, -122.8928653 49.2481545, -122.8930343 49.2583455, -122.8929941 49.258538, -122.8928144 49.2589074, -122.8925663 49.2592645, -122.8921425 49.2596479, -122.8901067 49.261204)",Lougheed Burquitlam,
"LINESTRING (-122.8901067 49.261204, -122.889164 49.2619227, -122.8889066 49.2622728, -122.8884613 49.2631304, -122.8880697 49.263505, -122.8852105 49.2657699, -122.8763996 49.2724727, -122.8752619 49.2741982, -122.872132 49.2771734, -122.8706944 49.2782374, -122.869522 49.278713, -122.8674113 49.2790073, -122.866081 49.2791193, -122.8616821 49.2787133, -122.8574306 49.277978, -122.8564894 49.2778734, -122.853952 49.2778874, -122.8516507 49.2780519, -122.8464901 49.2779959)",Burquitlam Moody,
"LINESTRING (-122.8464901 49.2779959, -122.8364452 49.277857, -122.8351953 49.277745, -122.8342458 49.2776435, -122.8325291 49.277731, -122.8315475 49.2777205, -122.8300401 49.277542, -122.8286775 49.2773355, -122.8279318 49.2772025)",Moody Inlet,
"LINESTRING (-122.8279318 49.2772025, -122.8262151 49.2768699, -122.8250832 49.2768139, -122.8112377 49.276534, -122.8089524 49.276527, -122.807386 49.276541, -122.8054012 49.276275, -122.8039742 49.275974, -122.802837 49.2755505, -122.8012545 49.275001, -122.8006107 49.2748505)",Inlet Coquitlam,
"LINESTRING (-122.8006107 49.2748505, -122.7999125 49.2746475, -122.7995048 49.2746055, -122.7991775 49.2746825, -122.7987484 49.274903, -122.798448 49.2752495, -122.7981583 49.275701, -122.7962539 49.2777099, -122.7955673 49.2785918, -122.7940813 49.2803521)",Coquitlam Lincoln,
"LINESTRING (-122.7940813 49.2803521, -122.7932191 49.2812913, -122.7930179 49.2817218, -122.7929347 49.2821977, -122.7929723 49.283195, -122.7928489 49.2835554, -122.7926048 49.2839561, -122.7916231 49.285655)",Lincoln Lafarge,
"LINESTRING (-123.1126513 49.286098, -123.1185015 49.2823616)",Waterfront City Center,
"LINESTRING (-123.1185015 49.2823616, -123.1226321 49.279471, -123.1231093 49.278884, -123.1235384 49.2779181, -123.1236191 49.2771052, -123.123356 49.2760702, -123.1225299 49.2751322, -123.1218382 49.2745434)",City Center Yaletown,
"LINESTRING (-123.1218382 49.2745434, -123.1197783 49.2725773, -123.1183192 49.2707292, -123.115594 49.2665208)",Yaletown Olympic,
"LINESTRING (-123.115594 49.2665208, -123.1150668 49.2657278, -123.1148522 49.2649087, -123.1148307 49.2628153)",Olympic Broadway,
"LINESTRING (-123.1148307 49.2628153, -123.1154342 49.2491068)",Broadway King Edward,
"LINESTRING (-123.1154342 49.2491068, -123.1155611 49.2453851, -123.1159474 49.2446006, -123.1166555 49.2440193, -123.1175781 49.243536, -123.1180395 49.2430107, -123.1182755 49.2423662, -123.1183184 49.2407972, -123.1179858 49.2401038, -123.1173421 49.2396064, -123.1164409 49.2387378, -123.1161619 49.2380934, -123.1161298 49.2370636, -123.116237 49.2333998)",King Edward Oakridge,
"LINESTRING (-123.116237 49.2333998, -123.1165221 49.2262589)",Oakridge Langara,
"LINESTRING (-123.1165221 49.2262589, -123.1170562 49.2140155, -123.1168905 49.2124925, -123.1169918 49.2096808)",Langara Marine,
"LINESTRING (-123.1169918 49.2096808, -123.1170039 49.209077, -123.1173273 49.2081156, -123.1176814 49.2029529, -123.1179764 49.2004328, -123.118191 49.1997913, -123.1186899 49.1993637, -123.1202295 49.1980246, -123.1209536 49.1976741, -123.12377 49.1966821, -123.1260391 49.1955428)",Marine Bridgeport,
"LINESTRING (-123.1260391 49.1955428, -123.128876 49.1943143, -123.12967 49.1937534, -123.1300026 49.1932626, -123.1300938 49.1927613, -123.1300938 49.1913414, -123.1303191 49.1908015, -123.1306624 49.1903388, -123.131923 49.1891467)",Bridgeport Capstan,
"LINESTRING (-123.131923 49.1891467, -123.1356806 49.1854331, -123.136083 49.1850019, -123.1362546 49.1845566, -123.1363566 49.1839394)",Capstan Aberdeen,
"LINESTRING (-123.1363566 49.1839394, -123.1364893 49.1815778, -123.1364732 49.1747641)",Aberdeen Lansdowne,
"LINESTRING (-123.1364732 49.1747641, -123.136496 49.1724466, -123.136335 49.1705773, -123.136335 49.1680642)",Lansdowne Richmond,
"LINESTRING (-123.1260856 49.1955226, -123.1283225 49.1945971, -123.1294115 49.1943412, -123.1304415 49.1944604, -123.1315144 49.1948565, -123.1332632 49.1954665, -123.1343575 49.1956523, -123.1443031 49.1968091, -123.1451453 49.1968547, -123.1458427 49.1967741, -123.146347 49.1966969)",Bridgeport Templeton,
"LINESTRING (-123.146347 49.1966969, -123.1484134 49.1963107, -123.1489445 49.1960478, -123.152705 49.1939094, -123.1536223 49.1935448, -123.1548829 49.1931907, -123.1559987 49.193047, -123.1579138 49.19304)",Templeton Sea Island,
"LINESTRING (-123.1579138 49.19304, -123.1653768 49.1930832, -123.1671363 49.1931498, -123.1713366 49.193602, -123.1722915 49.1936651, -123.1735039 49.1936862, -123.1749683 49.1938229, -123.1782728 49.19424)",Sea Island YVR,
