Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
Main Street-Science World,Station,Vancouver,Vancouver/UBC,1983,003; 008; 019; 022; 023; N19; N8,50181; 50233; 59925; 59929,Expo/Millennium Line,3800,3000,3600,3000,2800,2100,11410,11060,9450,9350,7050,6670,0,0,0,0,0,0,18000,20000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2023,-123.100344,49.273152,232,1cd710bf-ee7e-480a-91e4-0f87115f5d1b,-13703498.1330634,6321343.54535594
Maple Meadows,Station,Maple Ridge,Maple Ridge/Pitt Meadows,1995,595; 701; 719/722; 743; 744; 791,57585; 57654; 57670; 57753; 59645; 59646; 60233,West Coast Express,1000,990,620,600,510,490,340,330,10,0,0,0,0,0,0,0,0,0,3000,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,Yes,Yes,2023,-122.666697,49.216661,233,75bf2cce-02b3-4ea6-952a-5622aa95d953,-13655148.4734674,6311765.28811953
Marine Drive,Station,Vancouver,Vancouver/UBC,2009,003; 010; 015/050; 017; 080; 100; N15; N20; N8,61337; 61338,Canada Line,5600,5100,4200,4200,3700,3500,9730,9730,8120,7960,6920,6910,0,0,0,0,0,0,10000,6000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-123.117073,49.209785,234,0bdf1d20-3fb6-4fd3-8503-6bb3dfc1c507,-13705186.698257,6310458.7849106
Marpole,Exchange,Vancouver,Vancouver/UBC,1905,010; 100,50738; 51120; 52123; 54824; 59930,None,990,670,650,540,570,460,0,0,0,0,0,0,0,0,0,0,0,0,9200,7900,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.133159,49.203212,235,891450b7-c2a8-48af-bc6a-2185fd763db6,-13707120.5127018,6309412.78970322
Matthews,Exchange,Delta,Southwest,1987,310; 311; 351,54876; 54877; 54878; 55179,None,490,460,450,440,370,360,0,0,0,0,0,0,0,0,0,0,0,0,400,500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.95945,49.090558,236,618a84ee-4897-4236-aa7d-e2206c0fc316,-13687783.3156758,6290241.13655896
Meadowtown,Exchange,Pitt Meadows,Maple Ridge/Pitt Meadows,,719/722; 743; 744,59616; 59617,None,60,70,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,2600,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.672599,49.221824,237,eee31a94-4ab8-4c70-9325-c5e888b0b7c8,-13655851.2568437,6312584.44461539
Metrotown,Station,Burnaby,Burnaby/New Westminster,1985,019; 031; 049; 110; 116; 119; 129/133; 130; 144; 146; 147; 222; 430,51164; 51999; 52390; 52499; 52646; 52692; 52736; 52804; 60195; 60211; 60212; 60213; 60214,Expo/Millennium Line,16700,13500,11600,9100,9800,8100,24080,25950,21550,22870,17530,18760,0,0,0,0,0,0,27000,27000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,Yes,No,2023,-123.003807,49.225769,238,0cd3c662-f38b-4ec4-b42f-0116040e2b87,-13692660.6011878,6313258.37398221
Mission City,Station,Mission,Outside of Region,1995,701,60979,West Coast Express,40,50,0,0,0,0,350,220,40,0,0,0,0,0,0,0,0,0,3000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-122.303974,49.133695,239,8bed86d5-5ebb-46ee-ae6e-7d832c08e9eb,-13614760.2863564,6297486.03137684
Moody Centre,Station,Port Moody,Northeast Sector,1995,160; 180; 181; 182; 183; 184/185,58945; 61889; 61890; 61891; 61892; 61911; 61912; 61922,Expo/Millennium Line; West Coast Express,1100,1200,550,600,410,480,2940,2810,1830,1830,1290,1290,0,0,0,0,0,0,9000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.845861,49.278031,240,05291d84-debf-499e-926a-5962da7384ad,-13675188.4734127,6322112.54286753
Nanaimo,Station,Vancouver,Vancouver/UBC,1985,007; 025,50688; 51560; 60314,Expo/Millennium Line,4800,4300,3600,3300,2800,2600,6580,6550,5390,5240,4250,4250,0,0,0,0,0,0,13000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.05572,49.248243,241,2f30ad79-df57-4ea8-bb62-7b256b625a89,-13698521.256044,6317102.11766786
New Westminster,Station,New Westminster,Burnaby/New Westminster,1985,102/103; 105; 106; 109; 112; 123; 321; N19,61649; 61650; 61651; 61652; 61654; 61655; 61656; 61657; 61678,Expo/Millennium Line,6400,4200,4800,3400,3900,2700,13780,14190,9970,10120,7460,7680,0,0,0,0,0,0,16000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.912623,49.201418,242,1271f5f8-a8a2-40e0-8cfd-4f38863b5b92,-13682601.3222885,6309080.85884992
