Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
Surrey Central,Station,Surrey,Southeast,1994,314; 316; 320; 321; 323; 324; 325; 326; 329; 335; 337; 371; 373; 393; 501; 502; 503; 509; N19; R1,54993; 55070; 55210; 55441; 55612; 55713; 55714; 55738; 55836; 56395; 56406; 61035; 61036; 61677; 61787,Expo/Millennium Line,29600,20900,22500,17200,18600,14300,15080,21540,11570,16000,9130,12620,0,0,0,0,0,0,14000,13000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.847856,49.189525,270,719ec790-56ae-4162-8be1-204b6b8abf4b,-13675352.3576561,6307050.88019736
Templeton,Station,Richmond,Southwest,2009,N10,52115; 52226,Canada Line,0,0,0,0,0,0,3350,3480,3690,3830,3770,4030,0,0,0,0,0,0,200,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.14657,49.19667,271,fc5daf8d-019a-490d-9224-57edbceb3a67,-13708603.0550424,6308310.17254053
Tsawwassen Ferry Terminal,Exchange,Delta,Southwest,,620,56669; 61767,None,1100,930,1400,1200,1500,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.130235,49.007172,272,a8862946-97ca-4f7a-814b-bd55dd9dd0e3,-13706795.0956621,6276078.46301076
UBC,Exchange,UBC/UEL,Vancouver/UBC,1945,004; 009; 014; 025; 033; 044; 049; 068; 084; 099; N17; R4,58895; 60158; 60159; 60160; 60162; 60163; 60164; 60358; 61701; 61702; 61935,None,22000,19600,10200,9400,7900,7600,0,0,0,0,0,0,0,0,0,0,0,0,6200,12000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.247907,49.267244,273,584271a4-8ec5-4bd4-92b9-cad2d1dfb83d,-13719894.2239642,6320329.33946804
VCC-Clark,Station,Vancouver,Vancouver/UBC,2006,084,59767; 59803,Expo/Millennium Line,1700,1700,610,670,360,330,2790,2500,1290,1150,920,840,0,0,0,0,0,0,14000,7000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-123.078798,49.265767,274,51656bc8-1a3f-4f66-a738-d9c1e4149bf3,-13701084.712986,6320077.43253752
Vancouver City Centre,Station,Vancouver,Vancouver/UBC,2009,004; 007; 010; 014; 015/050; 016; 017; 020; 240; 241; 246/249; 247; 250; 253; 254; 257; N15; N19; N20; N22; N24; N35; N8,50976; 54445; 58504; 60980; 61031; 61293,Canada Line; Expo/Millennium Line,11600,10800,9500,8400,8500,7500,14070,14830,12010,12580,9970,10140,0,0,0,0,0,0,39000,147000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.118192,49.282419,275,3663700f-e006-4146-a676-455f815ebc0e,-13705460.9984599,6322907.48084906
Waterfront,Station,Vancouver,Vancouver/UBC,1985,003; 004; 007; 008; 010; 015/050; 044; N8; R5,50034; 50035; 50040; 50408; 58202,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,2700,2100,2000,1700,1600,1400,32480,30350,23750,22490,19110,18030,7700,8100,8400,8900,5900,6000,19000,130000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.113122,49.286603,276,d4ac4fa1-0eca-4aad-a948-5de413cafa7d,-13704774.07899,6323529.65817082
White Rock Centre,Exchange,Surrey,Southeast,1975,321; 345; 350; 351; 352; 354; 360; 361; 362; 363; 375; 394; 531,55383; 55488; 56030; 56081; 56116; 56136; 56280; 56388; 61629,None,2400,2100,2100,1800,1700,1500,0,0,0,0,0,0,0,0,0,0,0,0,15600,7100,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.801288,49.031979,277,8773cddd-1edb-453f-9cfd-9fa1a136520a,-13670176.8910476,6280289.35346419
YVR-Airport,Station,Richmond,Southwest,2009,,,Canada Line,0,0,0,0,0,0,7820,7300,7210,6510,7610,6550,0,0,0,0,0,0,0,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.178474,49.194308,278,82a93514-936e-42da-b8fe-de684f09c2fe,-13712337.4375834,6307826.19379275
Yaletown-Roundhouse,Station,Vancouver,Vancouver/UBC,2009,005/006; 023,50016; 50023; 50085; 61215,Canada Line,2000,1500,1400,1200,1400,970,8780,8600,7900,8040,6150,6050,0,0,0,0,0,0,44000,61000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.122014,49.274577,279,a54fd4d9-bdfa-4148-8f03-0adcd985a7f6,-13705873.9354634,6321549.86791962
22nd Street,Station,New Westminster,Burnaby/New Westminster,1985,100; 101; 104; 128; 155; 340; 388; 410; 418,52183; 52230; 52373; 53497; 55933; 56919; 58322,Expo/Millennium Line,11493,10999,6797,6935,5606,5661,10696,10500,7355,6873,5896,5602,0,0,0,0,0,0,5000,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.949042,49.199962,280,0564d0a6-1973-45e7-9e4b-634a1a17901b,-13686624.7979,6308859.2001
29th Avenue,Station,Vancouver,Vancouver/UBC,1985,016; 026; 029; 033,51056; 51603; 51818; 60208,Expo/Millennium Line,4116,3627,2899,2648,2440,2209,6851,6917,5524,5438,4380,4481,0,0,0,0,0,0,16000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-123.045429,49.24417,281,eaa7cbeb-d36b-4678-8438-9c31fb74ca99,-13697354.4837,6316393.9768
Aberdeen,Station,Richmond,Southwest,2009,403; 410; N10,56564; 58198,Canada Line,1115,1133,751,800,645,661,3740,3976,4139,4289,3359,3481,0,0,0,0,0,0,6000,21000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.136246,49.184134,282,8d508d63-6c67-46b7-8d96-fc82b26fe6f3,-13707464.2568,6306163.0845
Blanca,Loop,UBC/UEL,Vancouver/UBC,1930,004; 014,50273; 50600,None,32,32,42,31,24,34,0,0,0,0,0,0,0,0,0,0,0,0,6000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.215644,49.265128,283,cc1a0faf-e0eb-40a8-bcf2-9cabbf79e0eb,-13716302.7146,6319968.453
Boundary,Loop,Vancouver,Vancouver/UBC,1953,009; 099; N9,50901; 52092,None,636,526,284,263,220,225,0,0,0,0,0,0,0,0,0,0,0,0,4000,11000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.025191,49.265474,284,323c8993-971e-4c66-85b2-ac4e7c740c0d,-13695101.5991,6320027.4657
Braid,Station,New Westminster,Burnaby/New Westminster,2002,128; 153; 155; 156; 159; 169; 791,58079; 58082; 58083; 58084; 58085; 58086,Expo/Millennium Line,3896,3429,1979,1815,1412,1305,4694,4819,3004,3023,2220,2252,0,0,0,0,0,0,5000,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.882852,49.232865,285,583f5f35-0157-48aa-9460-34c13990ce46,-13679256.4812,6314466.4974
Brentwood Town Centre,Station,Burnaby,Burnaby/New Westminster,2002,025; 123; 130; 134; 136; 222; N9,51389; 52751; 60329; 60516; 60690; 61802; 61806,Expo/Millennium Line,4411,3840,2585,2303,2029,1794,7074,7469,5199,5461,3885,4142,0,0,0,0,0,0,23000,15000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.002172,49.266306,286,e435fed6-d278-444d-b957-8a8e4b00b7e7,-13692539.1021,6320169.359
Bridgeport,Station,Richmond,Southwest,2009,311; 351; 352; 354; 403; 407; 412; 430; 601; 602; 603; 604; 620; N10,61321; 61323; 61324; 61325; 61326; 61327; 61328; 61329; 61330; 61331; 61693,Canada Line,8712,7953,5675,5396,5397,5114,9781,9976,8047,8163,6673,6766,0,0,0,0,0,0,7000,7000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-123.1272,49.195133,287,9ca5c1f2-39fc-4c5a-9043-8ab6066ff511,-13706457.1997,6308036.543
Broadway-City Hall,Station,Vancouver,Vancouver/UBC,2009,009; 015/050; 017; 099; N15; N9,50875; 58501; 60307; 60535; 60676,Canada Line,9274,8690,6310,5645,5280,4226,11093,11061,7495,7558,5894,6202,0,0,0,0,0,0,19000,35000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.113559,49.263266,288,fb58ec57-5678-4f76-b2b2-f264ad2d4d31,-13704938.6989,6319650.7297
Burquitlam,Station,Coquitlam,Northeast Sector,2016,143; 151; 156; 157; 180; N9,53122; 53208; 59531; 59554; 59557; 59561,Expo/Millennium Line,2726,2160,768,493,628,434,4987,5081,3278,3298,2428,2517,0,0,0,0,0,0,17000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.889293,49.261309,289,eb67c756-9252-46de-80b7-70458a247142,-13679973.4776,6319316.9609
Burrard,Station,Vancouver,Vancouver/UBC,1985,002; 005/006; 019; 022; 044; 209; 210; 211; 214; N22; N24; R5,50031; 50042; 50043; 50076; 50405; 51843; 53312; 58099,Expo/Millennium Line,8870,7120,5625,4697,4761,3835,19156,19507,11941,12467,9421,9165,0,0,0,0,0,0,36000,127000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.120351,49.285809,290,b89e6ff2-2a4d-43f4-9a1a-7727411bef45,-13705694.727,6323497.025
Capilano University,Exchange,North Vancouver District,North Shore,2009,211; 245; 255,51753; 51754; 54423; 61070; 61071; 61239,None,1833,1993,217,281,141,191,0,0,0,0,0,0,0,0,0,0,0,0,4000,1000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.018632,49.319256,291,2fdc0d6c-069a-4324-a2b8-33fd2ef5f979,-13694371.4244,6329207.1449
Carvolth,Exchange,Langley Township,Southeast,2012,388; 501; 509; 555; 562; 595,61709; 61710; 61711; 61712; 61714; 61715; 61716; 61717; 61719; 61720,None,3703,3538,1855,1778,1343,1271,0,0,0,0,0,0,0,0,0,0,0,0,7000,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.659479,49.160287,292,a1cd569d-353d-4ecd-af6f-2af97663a7d1,-13654390.7002,6302102.5992
Caulfeild,Exchange,West Vancouver,North Shore,,253; 262,54704; 60887,None,265,173,48,84,46,68,0,0,0,0,0,0,0,0,0,0,0,0,6000,1000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.252445,49.350696,293,59f1ee79-edcf-4118-aea6-96f9078b4aa8,-13720399.4349,6334577.9673
Cloverdale,Exchange,Surrey,Southeast,,320; 342,55982; 59590; 59795,None,335,436,214,292,167,216,0,0,0,0,0,0,0,0,0,0,0,0,8000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.733575,49.107789,294,5a7530c1-4ed3-4afa-8525-dd4aafb15b5d,-13662639.1066,6293170.7172
Columbia,Station,New Westminster,Burnaby/New Westminster,1989,102/103; 105; 109; 321; N19,52317; 52331; 52431,Expo/Millennium Line,212,489,158,326,114,246,4468,3859,3298,2919,2321,1988,0,0,0,0,0,0,17000,10000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.906383,49.204707,295,75dda2ef-19bd-4253-8be7-3c3d914674a0,-13681876.0183,6309667.5447
Commercial-Broadway,Station,Vancouver,Vancouver/UBC,1985,009; 020; 099; N20; N9,50913; 50963; 52094; 52102; 58327; 58402; 58491; 58620,Expo/Millennium Line,17528,15597,10863,9639,8559,7575,20645,21625,15829,16306,12206,12738,0,0,0,0,0,0,17000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2024,-123.068412,49.262558,296,ef7ff70d-7eee-43d1-8c48-c82d55fd13ed,-13699912.9603,6319529.9196
Coquitlam Central,Station,Coquitlam,Northeast Sector,1991,150; 151; 152; 153; 159; 160; 169; 171/172; 173/174; 175; 179; 183; 184/185; 186; 187; 188; 189; 191; 701; N9; R3,53021; 53035; 53161; 53170; 53299; 53357; 53495; 53730; 53864; 53866; 53887; 57570; 60390; 61306,Expo/Millennium Line; West Coast Express,7583,7074,5214,4904,4164,3853,4934,5184,3884,4014,2800,2956,0,0,0,0,0,0,5500,9000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.799937,49.275183,297,bc452045-4b11-47f0-8abb-2af6d4c4e57f,-13670026.413,6321683.8025
Deep Cove,Exchange,North Vancouver District,North Shore,,211; 212,54053; 59518,None,217,203,250,170,262,226,0,0,0,0,0,0,0,0,0,0,0,0,4000,1000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.950708,49.326254,298,edfcad05-3d27-4e78-a944-133ab4a47e2e,-13686810.2367,6330402.2022
Dunbar,Exchange,Vancouver,Vancouver/UBC,1950,002; 007; 041; 049; N22; R4,50298; 50640; 50737; 51893; 60393; 60394; 60745,None,2553,2456,1845,1737,1548,1390,0,0,0,0,0,0,0,0,0,0,0,0,5600,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.185596,49.234709,299,9c3600c3-d1ee-4c92-8add-d76acd8852f7,-13712957.8324,6314780.832
Edgemont Village,Exchange,North Vancouver District,North Shore,,232; 246/249,54307; 58111,None,310,295,226,186,151,155,0,0,0,0,0,0,0,0,0,0,0,0,7000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.103668,49.338772,300,a30e44d1-0547-41cc-a853-5a7854e66504,-13703837.5915,6332540.5889
Edmonds,Station,Burnaby,Burnaby/New Westminster,1985,101; 106; 112; 116; 119; 129/133; 147; 148,52453; 52605; 52667; 52771; 52992; 59868,Expo/Millennium Line,8273,7045,5006,4272,3952,3452,10931,10673,7467,7112,5803,5617,0,0,0,0,0,0,18000,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.958679,49.212082,301,1339df4d-2211-478d-850b-ffc2aea4bb57,-13687697.5864,6310924.1898
Gateway,Station,Surrey,Southeast,1994,335; 371; 373,55789; 55807; 58124,Expo/Millennium Line,2056,2925,1491,1720,1122,1330,6848,6007,5037,4580,4004,3682,0,0,0,0,0,0,14000,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.850771,49.198963,302,af5a9a83-53c6-4c47-a6dc-b9706b3da36a,-13675685.2785,6308689.0148
Gilmore,Station,Burnaby,Burnaby/New Westminster,2002,028; 129/133,58345; 58346,Expo/Millennium Line,386,535,136,294,130,257,3408,3063,1993,1689,1371,1165,0,0,0,0,0,0,12000,17000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.01388,49.264733,303,7271d2ac-f9f4-4f08-b549-f548ecab25f7,-13693842.4382,6319900.99189999
Granville,Station,Vancouver,Vancouver/UBC,1985,004; 007; 010; 014; 015/050; 016; 017; 020; N10; N15; N17; N19; N20; N24; N35; N8; N9,60993; 61519,Canada Line; Expo/Millennium Line,708,1803,701,1438,598,1320,18524,21765,14784,17945,11819,13630,0,0,0,0,0,0,38000,146000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.115467,49.282974,304,e54ce5c1-3411-4509-821e-81be2fee5eaa,-13705151.1388,6323013.2471
Guildford,Exchange,Surrey,Southeast,1975,320; 326; 335; 337; 341; 373; 375; 501; 509; R1,55128; 55130; 55131; 55760; 58175; 59237; 61597,None,5559,5661,4865,4864,4117,4183,0,0,0,0,0,0,0,0,0,0,0,0,22000,11000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.802726,49.191498,305,2f071265-2b83-4350-be51-9277ceb98ac1,-13670336.9127,6307417.3146
Haney Place,Exchange,Maple Ridge,Maple Ridge/Pitt Meadows,2008,701; 733; 741; 743; 744; 745/746; 748; 749; 791; R3,61057; 61058; 61059; 61060; 61061; 61062; 61063; 61064,None,2520,2621,1658,1834,1322,1427,0,0,0,0,0,0,0,0,0,0,0,0,13000,8000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.597069,49.219462,306,a657d239-49f8-428f-8092-049776b9098b,-13647443.2673,6312181.8445
Holdom,Station,Burnaby,Burnaby/New Westminster,2002,129/133; 136; N9,53302; 53309; 58342; 58343,Expo/Millennium Line,1562,1425,727,848,686,592,2707,2400,1873,1610,1369,1235,0,0,0,0,0,0,9000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.982288,49.264799,307,46b8a092-2f61-440a-97e6-42b98921e5b8,-13690325.6264,6319912.2734
Horseshoe Bay,Exchange,West Vancouver,North Shore,1961,250; 257; 262,54556,None,1546,1351,1486,1332,1604,1260,0,0,0,0,0,0,0,0,0,0,0,0,3000,1000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.272695,49.374277,308,59b5c305-c45c-4c4d-b326-b41a61d2278a,-13722653.6152,6338608.5923
Inlet Centre,Station,Port Moody,Northeast Sector,2016,160; 179; 183; 184/185; N9,53267; 59569; 61988,Expo/Millennium Line,279,408,156,190,124,169,2037,2024,1489,1420,1062,1038,0,0,0,0,0,0,13000,6000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-122.827475,49.277505,309,4291661f-1ed8-442a-9f32-a572cd8aceb6,-13673091.9921,6322080.0795
Joyce-Collingwood,Station,Vancouver,Vancouver/UBC,1985,026; 027; 028; 041; R4,51671; 51722; 51787; 58249; 59664; 61609,Expo/Millennium Line,11129,9637,7325,6609,5920,5099,15160,15459,12636,12412,10444,10503,0,0,0,0,0,0,25000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2024,-123.031671,49.238301,310,9afd85f6-9837-4560-b2d1-26f381ca8a77,-13695822.9158,6315393.2179
King Edward,Station,Vancouver,Vancouver/UBC,2009,015/050; 025; 033; N15,50419; 50475; 51574; 60607,Canada Line,3943,4186,2658,2894,2307,2283,6478,6443,4948,4877,3960,4202,0,0,0,0,0,0,10000,6000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2024,-123.115386,49.249024,311,c7e286f9-f530-4f08-8a5c-42e00695b226,-13705142.0656,6317221.7219
King George,Station,Surrey,Southeast,1994,314; 321; 326; 329; 345; 394; 395; 502; 503; R1,54990; 58164; 59339; 60480; 60654,Expo/Millennium Line,5219,12690,2491,7222,2021,5842,13929,7135,9190,4458,7085,3443,0,0,0,0,0,0,20000,16000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2024,-122.843695,49.182459,312,96c6548d-a8cc-4134-86cd-8a7f0ef85273,-13674897.6302,6305877.8298
Knight Street-Marine Drive,Exchange,Vancouver,Vancouver/UBC,1974,022; 100; 405; 407; N20,51318; 52205; 56958,None,1863,1600,1173,999,1108,976,0,0,0,0,0,0,0,0,0,0,0,0,9000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.075604,49.211099,313,346825f5-d2bc-436c-bbdf-8a4bb713105f,-13700713.5133,6310756.7619
Kootenay,Exchange,Vancouver,Vancouver/UBC,1950,014; 027; 028; 130; 131; 160; 222; N35; R5,50955; 51470; 51695; 52717; 58042; 58043; 58143; 59889,None,4159,4136,2682,2656,2211,2256,0,0,0,0,0,0,0,0,0,0,0,0,10700,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.026275,49.28129,314,8a188966-5898-4280-bc46-0b32ab6f5c9e,-13695222.244,6322725.8923
Ladner,Exchange,Delta,Southwest,1978,310; 601; 606; 608; 609; 616; 618; 620; 640,55164; 56664; 56673; 57395; 57396; 57518; 57562,None,1782,1605,1478,1366,1369,1309,0,0,0,0,0,0,0,0,0,0,0,0,5100,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-123.061363,49.087673,315,4d643a59-8717-4157-959d-a4983b4dcf03,-13699128.3205,6289750.8525
Lafarge Lake-Douglas,Station,Coquitlam,Northeast Sector,2016,160; 183; 186; 188; 191; N9,53868; 58666; 59565,Expo/Millennium Line,696,610,338,343,275,230,2364,2368,1512,1529,1206,1277,0,0,0,0,0,0,22000,10000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-122.792061,49.285384,316,6f6fe334-c72f-4e6e-a2cb-0cf8941a0e31,-13669149.6728,6323424.5202
Lake City Way,Station,Burnaby,Burnaby/New Westminster,2003,134; N9,53305; 53308; 58363,Expo/Millennium Line,73,101,16,22,8,15,981,1016,488,475,364,359,0,0,0,0,0,0,3000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-122.938381,49.254579,317,19b454a0-c051-4233-845f-258270b5414c,-13685437.9943,6318169.114
Langara-49th Avenue,Station,Vancouver,Vancouver/UBC,2009,015/050; 049; N15,50985; 50999; 51967; 61218,Canada Line,5525,5525,3595,3949,3137,3312,7854,7574,5274,4969,4255,4191,0,0,0,0,0,0,12000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.116327,49.226166,318,b5cdb60a-5aef-46d5-9ea8-73263ab8476d,-13705246.8458,6313324.5204
Langley Centre,Exchange,Langley City,Southeast,1975,320; 342; 364; 372; 395; 501; 502; 503; 509; 531; 560/561; 562; 563; 564; 595,55299; 57027; 57097; 57136; 57143; 57188; 59863,None,4780,4364,3292,3076,2497,2246,0,0,0,0,0,0,0,0,0,0,0,0,12000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-122.654344,49.106391,319,35dab7c8-468d-4eb9-bd75-63687b0e3023,-13653819.0926,6292933.1033
Lansdowne,Station,Richmond,Southwest,2009,403; 405; 407; 410; 416; N10,56454; 58196; 59771; 61577; 61978,Canada Line,984,1163,756,868,660,735,4614,4716,4180,4203,3241,3282,0,0,0,0,0,0,27000,28000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.136335,49.174344,320,f9573d3f-99ad-4c6e-90a0-92405afcf5f2,-13707474.1595,6304495.8062
Lincoln,Station,Coquitlam,Northeast Sector,2016,160; 183; 186; 188; N9,59890; 59935,Expo/Millennium Line,748,1089,537,730,464,651,3662,3401,3004,2738,2343,2117,0,0,0,0,0,0,22000,13000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-122.793895,49.28021,321,24297df1-7b09-482e-9a1e-7f0d7352c1fc,-13669353.8486,6322541.5473
Lonsdale Quay,Station,North Vancouver City,North Shore,1977,228; 229; 230; 231; 236; 246/249; N24; R2,50980; 54134; 54196; 54410; 54421; 54516; 58724; 58725; 60473,SeaBus,13234,11966,12480,11380,9884,9014,0,0,0,0,0,0,0,0,0,0,0,0,14000,14000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.083044,49.310395,322,5b466fb2-15f4-4c8a-8d72-fe92e3ab58a5,-13701541.7761,6327694.05610001
Lougheed Town Centre,Station,Burnaby,Burnaby/New Westminster,2002,101; 109; 110; 136; 152; 156; 157; 180; 555; N9,58430; 58431; 58432; 58433; 58434; 58436; 58437; 58438; 58439,Expo/Millennium Line,5788,5077,3004,2772,2490,2080,11640,11493,8635,8429,6527,6466,0,0,0,0,0,0,20000,10000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.895956,49.248157,323,8168467a-14e9-4fba-a02f-9a53899df568,-13680715.2069,6317073.8275
Lynn Valley,Exchange,North Vancouver District,North Shore,,209; 210; 227; 228; 229; 240; N24,53977; 54002; 54003; 54182; 59526,None,1466,888,972,671,860,626,0,0,0,0,0,0,0,0,0,0,0,0,12000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.03842,49.336837,324,91418ef2-420e-46bb-8390-011d8739005f,-13696574.2401,6332210.1212
Main Street-Science World,Station,Vancouver,Vancouver/UBC,1983,003; 008; 019; 022; 023; N19; N8,50181; 50233; 59925; 59929,Expo/Millennium Line,3536,2793,2805,2356,2530,2091,11584,11306,9348,9283,7022,6719,0,0,0,0,0,0,22000,24000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2024,-123.100618,49.273189,325,b2344f41-bbc1-453b-b492-4b953a04c5f2,-13703498.1331,6321343.5454
Maple Meadows,Station,Maple Ridge,Maple Ridge/Pitt Meadows,1995,595; 701; 719/722; 743; 744; 791,57585; 57654; 57670; 57753; 59645; 59646; 60233,West Coast Express,1200,1108,740,687,598,536,421,418,0,0,0,0,0,0,0,0,0,0,4000,7000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,Yes,Yes,2024,-122.666286,49.217018,326,fef0148a-a19b-4506-bb92-883bb4b77f5f,-13655148.4735,6311765.2881
Marine Drive,Station,Vancouver,Vancouver/UBC,2009,003; 010; 015/050; 017; 080; 100; N15; N20; N8,61337; 61338,Canada Line,5929,5572,4581,4390,4169,3905,10155,10113,8247,8043,6979,6986,0,0,0,0,0,0,12000,7000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-123.115787,49.209351,327,b6cba005-db9f-40a7-8121-10c3eff3bdc6,-13705186.6983,6310458.7849
Marpole,Exchange,Vancouver,Vancouver/UBC,1905,010; 100,50738; 51120; 52123; 54824; 59930,None,1180,920,895,746,894,683,0,0,0,0,0,0,0,0,0,0,0,0,9200,8000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.133159,49.203212,328,2da9f611-146d-49bf-8941-ac093ac77e43,-13707120.5127,6309412.7897
Matthews,Exchange,Delta,Southwest,1987,310; 311; 351,54876; 54877; 54878; 55179,None,507,494,426,420,393,382,0,0,0,0,0,0,0,0,0,0,0,0,400,0,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.95945,49.090558,329,068e4a93-f1bb-44da-9482-73abf3326016,-13687783.3157,6290241.1366
Meadowtown,Exchange,Pitt Meadows,Maple Ridge/Pitt Meadows,,719/722; 743; 744,59616; 59617,None,67,67,43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.672599,49.221824,330,1c08f5ca-5942-41d4-900f-1adebd806a8e,-13655851.2568,6312584.4446
Metrotown,Station,Burnaby,Burnaby/New Westminster,1985,019; 031; 049; 110; 116; 119; 129/133; 130; 144; 146; 147; 222; 430,51164; 51999; 52390; 52499; 52646; 52692; 52736; 52804; 60195; 60211; 60212; 60213; 60214,Expo/Millennium Line,17802,14323,11688,8946,9911,7845,25026,27223,21771,23211,17683,18895,0,0,0,0,0,0,32000,23000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,Yes,No,2024,-123.003263,49.225778,331,26d2855b-8155-4130-a136-e68f9b747943,-13692660.6012,6313258.374
