SeasonYear,Lineno_renamed,DayType,Season,HourRange,direction_updated,Average_Peak_Passenger_Load,Average_Peak_Load_Factor
2023,3,MF,Fall,9,NORTH,26.66800355,38.09714793
2023,3,MF,Fall,9,SOUTH,26.33934835,37.6276405
2023,3,MF,Fall,15,NORTH,27.45107241,39.21581773
2023,3,MF,Fall,15,SOUTH,45.41225992,64.87465703
2023,3,MF,Fall,18,NORTH,22.030476,31.47210857
2023,3,MF,Fall,18,SOUTH,28.18016594,40.25737992
2023,3,MF,Fall,21,NORTH,13.19800068,18.85428668
2023,3,MF,Fall,21,SOUTH,19.94955459,28.49936371
2023,3,MF,Fall,24,NORTH,4.199070992,5.998672845
2023,3,MF,Fall,24,SOUTH,9.843265872,14.06180839
2023,3,MF,Summer,4,NORTH,16.37048611,23.38640873
2023,3,MF,Summer,4,SOUTH,12.13229167,17.33184524
2023,3,MF,Summer,6,NORTH,37.01185286,52.87407551
2023,3,MF,Summer,6,SOUTH,20.84606964,29.78009948
2023,3,MF,Summer,9,SOUTH,31.46527584,44.95039406
2023,3,MF,Summer,9,NORTH,31.98848914,45.69784162
2023,3,MF,Summer,15,SOUTH,47.59959325,67.99941893
2023,3,MF,Summer,15,NORTH,34.02482639,48.60689484
2023,3,MF,Summer,18,SOUTH,34.13418692,48.76312417
2023,3,MF,Summer,18,NORTH,22.88430107,32.69185868
2023,3,MF,Summer,21,SOUTH,25.24331184,36.06187406
2023,3,MF,Summer,21,NORTH,15.77609728,22.53728183
2023,3,MF,Summer,24,SOUTH,11.64973073,16.64247247
2023,3,MF,Summer,24,NORTH,7.976636905,11.39519558
2023,3,Sat,Fall,4,SOUTH,NULL,NULL
2023,3,Sat,Fall,4,NORTH,9.841346154,14.05906593
2023,3,Sat,Fall,6,SOUTH,11.79306527,16.8472361
2023,3,Sat,Fall,6,NORTH,16.98696581,24.26709402
2023,3,Sat,Fall,9,SOUTH,29.54297659,42.20425227
2023,3,Sat,Fall,9,NORTH,32.97116564,47.1016652
2023,3,Sat,Fall,15,SOUTH,39.40485348,56.29264783
2023,3,Sat,Fall,15,NORTH,30.67820513,43.82600733
2023,3,Sat,Fall,18,SOUTH,24.66143515,35.23062164
2023,3,Sat,Fall,18,NORTH,22.59978632,32.28540904
2023,3,Sat,Fall,21,NORTH,17.89527972,25.56468531
2023,3,Sat,Fall,21,SOUTH,22.68472222,32.40674603
2023,3,Sat,Fall,24,NORTH,NULL,NULL
2023,3,Sat,Fall,24,SOUTH,NULL,NULL
2023,3,Sat,Summer,4,NORTH,NULL,NULL
2023,3,Sat,Summer,4,SOUTH,NULL,NULL
2023,3,Sat,Summer,6,NORTH,22.49272487,32.1324641
2023,3,Sat,Summer,6,SOUTH,16.68181818,23.83116883
2023,3,Sat,Summer,9,NORTH,37.37797619,53.39710884
2023,3,Sat,Summer,9,SOUTH,32.14745146,45.92493065
2023,3,Sat,Summer,15,NORTH,39.44642857,56.35204082
2023,3,Sat,Summer,15,SOUTH,49.46269841,70.66099773
2023,3,Sat,Summer,18,NORTH,24.67939815,35.25628307
2023,3,Sat,Summer,18,SOUTH,33.03632479,47.19474969
2023,3,Sat,Summer,21,NORTH,18.39393939,26.27705628
2023,3,Sat,Summer,21,SOUTH,25.99768519,37.13955026
2023,3,Sat,Summer,24,NORTH,NULL,NULL
2023,3,Sat,Summer,24,SOUTH,NULL,NULL
2023,3,Sun/Hol,Fall,4,NORTH,10.15800866,14.51144094
2023,3,Sun/Hol,Fall,4,SOUTH,NULL,NULL
2023,3,Sun/Hol,Fall,6,NORTH,18.23946812,26.05638302
2023,3,Sun/Hol,Fall,6,SOUTH,12.59713844,17.99591205
2023,3,Sun/Hol,Fall,9,NORTH,27.04062725,38.62946751
2023,3,Sun/Hol,Fall,9,SOUTH,27.45397892,39.21996989
2023,3,Sun/Hol,Fall,15,SOUTH,32.382278,46.26039714
2023,3,Sun/Hol,Fall,15,NORTH,25.07652489,35.82360698
2023,3,Sun/Hol,Fall,18,SOUTH,23.77329199,33.9618457
2023,3,Sun/Hol,Fall,18,NORTH,16.85026733,24.07181048
2023,3,Sun/Hol,Fall,21,SOUTH,13.53358154,19.33368792
2023,3,Sun/Hol,Fall,21,NORTH,10.98884532,15.69835045
2023,3,Sun/Hol,Fall,24,SOUTH,13.40464887,19.14949839
2023,3,Sun/Hol,Fall,24,NORTH,NULL,NULL
2023,3,Sun/Hol,Summer,4,SOUTH,NULL,NULL
2023,3,Sun/Hol,Summer,4,NORTH,NULL,NULL
