Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID
230,UPPER LONSDALE/LONSDALE QUAY,North Shore,Std. Bus,Standard,47000,25000,6.2,15 km/h,98,686026,2159,1525,1063,3,84%,1813804,16901,,,,12982.0398839145,2024,700,12982.0398839377,fd2378a5-4e4a-4b1e-9ff5-34f18ff5817d
231,HARBOURSIDE/LONSDALE QUAY,North Shore,Std. Bus,Peak Only - Limited,21000,19000,2.6,16 km/h,189,18114,73,0,34,0,91%,129821,1176,,,,4192.3600285267,2024,701,4192.36002853213,ccb04298-fd0b-463c-83de-6745413e43b1
232,GROUSE MOUNTAIN/PHIBBS EXCH,North Shore,Std. Bus,Standard,55000,25000,11.9,20 km/h,105,633086,1929,1408,1224,0,78%,2271519,21349,,,,27752.1308500637,2024,702,27752.1308500286,099157da-7c7a-4807-8a51-e3e48b8ab7bc
236,GROUSE MOUNTAIN/LONSDALE QUAY,North Shore,Std. Bus,Standard,35000,26000,7.2,22 km/h,115,485881,1248,1606,1411,0,84%,2247165,20734,,,,18095.921035958,2024,703,18095.9210359415,113dd1cc-bda7-49bc-aa2d-b016f2bf7d2f
240,LYNN VALLEY/DOWNTOWN,North Shore,Std. Bus,All Day Frequent,114000,188000,12.9,20 km/h,27,2922507,8808,7175,5481,8,70%,6695653,59824,Data reflects extension to Lynn Valley in Apr 2020,Lynn Valley; Vancouver City Centre,Canada Line; Expo/Millennium Line,29786.8515911831,2024,704,29786.8515911906,b583299e-ed1f-45fc-bbfd-3b5e5aa7e6b8
241,UPPER LONSDALE/DOWNTOWN,North Shore,Std. Bus,Peak Only - Limited,107000,187000,11.4,19 km/h,131,282480,1132,0,721,2,71%,923512,8577,,Vancouver City Centre,Canada Line; Expo/Millennium Line,26514.5281491466,2024,705,26514.5281491392,1262ae47-25cf-4b75-beef-66c9d6ec916f
245,PHIBBS/CAPILANO,North Shore,Std. Bus,Peak Frequent,7000,5000,3.9,22 km/h,102,659684,2541,301,173,1,94%,1834450,19095,New route to Capilano University starting Apr 2020,,,7192.78880825426,2024,706,7192.78880822776,0d24384d-820f-4751-8fd3-718e0e163a50
246/249,LONSDALE QUAY/DELBROOK/HIGHLAND/DOWNTOWN,North Shore,Std. Bus,Peak Frequent,114000,187000,8.6,20 km/h,73,1129407,3542,2380,1903,2,72%,3853467,36614,246/249 run as a connected route,Edgemont Village; Lonsdale Quay; Vancouver City Centre,Canada Line; Expo/Millennium Line,32439.8505547069,2024,707,32439.8505546849,a8738e7d-b52e-4842-8c78-7d86463a8276
247,GROUSE MOUNTAIN/DOWNTOWN,North Shore,Std. Bus,Peak Only - Limited,83000,166000,16.4,25 km/h,172,66977,268,0,159,0,79%,295916,2773,,Vancouver City Centre,Canada Line; Expo/Millennium Line,27324.5367055881,2024,708,27324.5367055493,632afe41-dcb1-4404-9f5d-212fea4887a7
250,HORSESHOE BAY/DUNDARAVE/VANCOUVER,North Shore,Std. Bus,All Day Frequent,101000,181000,10.1,24 km/h,32,2380826,7008,6150,4862,7,68%,7352381,68791,,Horseshoe Bay; Park Royal; Vancouver City Centre,Canada Line; Expo/Millennium Line,48665.4876556456,2024,709,48665.4876556702,dd6be555-92c9-4bb5-8ac9-46ed3588fb71
251,QUEENS/PARK ROYAL,North Shore,Mini-Bus,Basic,21000,16000,9.7,27 km/h,168,86016,282,165,113,0,78%,765460,8684,,,,16764.6234882025,2024,710,16764.6234882286,4183711d-a96b-4a1b-9107-97c6f2b7053f
252,INGLEWOOD/PARK ROYAL,North Shore,Mini-Bus,Basic,18000,15000,6.8,23 km/h,176,61954,196,125,103,0,79%,654214,7313,,,,12744.7086534471,2024,711,12744.7086534632,1d3ae69e-7415-4ca5-bcd6-be6af51eb57f
253,CAULFEILD/VANCOUVER/PARK ROYAL,North Shore,Std. Bus,Basic,96000,180000,13.9,26 km/h,130,290311,1055,263,213,4,64%,1185781,10638,,Caulfeild; Park Royal; Vancouver City Centre,Canada Line; Expo/Millennium Line,38833.6222623021,2024,712,38833.6222623342,ee886b35-414d-4118-8200-56d88d448067
254,BRITISH PROPERTIES/PARK ROYAL/VAN,North Shore,Std. Bus,Basic,93000,173000,12.7,24 km/h,147,173492,604,221,180,3,64%,828016,7871,,Park Royal; Vancouver City Centre,Canada Line; Expo/Millennium Line,48216.8759853308,2024,713,48216.8759853322,b92f7987-fc56-4c3c-90ba-442496d8e684
255,DUNDARAVE/CAPILANO UNIVERSITY,North Shore,Std. Bus,Standard,71000,52000,13.5,21 km/h,79,984327,3138,1910,1596,1,61%,3495433,32819,Data reflects service redesign with R2 in Apr 2020,,,31046.9620676917,2024,714,31046.9620676539,3cfa5e69-6561-4d86-aecc-2a1f0225edcb
256,WHITBY ESTATE/PARK ROYAL/SPURAWAY,North Shore,Mini-Bus,Basic,22000,11000,8.6,20 km/h,162,97660,279,280,210,0,69%,491299,5573,,,,20480.7422219178,2024,715,20480.7422219313,c8eeb7d1-216f-476f-8157-0f05ee0685d0
257,HORSESHOE BAY/VANCOUVER EXPRESS,North Shore,Artic. Bus,Standard,85000,176000,22,35 km/h,59,1326466,3471,4158,3785,5,81%,3462770,35176,,Horseshoe Bay; Park Royal; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,55576.0686792993,2024,716,55576.0686793039,50bb0b0a-501f-4b8b-8535-9a1d9afa0079
262,LIONS BAY/CAULFEILD,North Shore,Mini-Bus,Basic,9000,2000,12.4,48 km/h,185,34571,97,102,80,0,81%,494133,5603,,,,49853.9705866257,2024,717,49853.9705866295,849f08bf-aeac-4204-ac62-dcbbcdc83a10
301,NEWTON EXCHANGE/BRIGHOUSE STATION,Southwest,Double Decker,Peak Frequent,94000,56000,29.6,33 km/h,48,1666198,5213,3209,3098,5,77%,3808597,37564,,Newton; Richmond-Brighouse; Scottsdale,Canada Line,82764.4347092982,2024,718,82764.4347093177,3801231a-1acc-4c67-acda-dbc79d0907b9
310,SCOTTSDALE/LADNER,Southeast,Std. Bus,Standard,41000,16000,22.3,32 km/h,108,598731,1759,1379,1368,0,81%,2252556,24329,Data reflects extension to Ladner Village in Sep 2021,,,44695.2533756394,2024,719,44695.2533756525,28b30815-c244-4d05-a111-20fb3e50bd77
311,SCOTTSDALE/BRIDGEPORT STN,Southeast,Double Decker,Peak Only - Limited,36000,21000,29.3,46 km/h,142,217868,873,0,488,0,86%,856048,8255,,Bridgeport; Matthews; Scottsdale,Canada Line,82054.1983997715,2024,720,82054.1983997874,e874212e-2fe0-41b7-98ac-b9db547c92aa
312,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Standard,48000,17000,11.5,23 km/h,66,1208029,3658,2900,2253,11,93%,2394470,24438,,Scott Road; Scottsdale,Expo/Millennium Line,25087.3419928984,2024,721,25087.3419929122,f33aae61-c4cd-45ac-bd7b-7a478775c274
314,SURREY CENTRAL/SUNBURY,Southeast,Std. Bus,Basic,75000,36000,7.6,19 km/h,113,536097,1747,1000,754,10,88%,1075928,10781,,King George; Surrey Central,Expo/Millennium Line,31756.7565684459,2024,722,31756.7565684588,12e39532-8860-47b5-8c6f-427b486a25d8
316,SURREY CENTRAL STN/SCOTTSDALE,Southeast,Std. Bus,Basic,77000,27000,10.7,19 km/h,82,945367,2793,2475,1866,8,88%,1683315,19316,,Scottsdale; Surrey Central,Expo/Millennium Line,20498.4550451356,2024,723,20498.4550451173,a3b42512-3892-4378-91a4-4f36dad4d63a
319,SCOTT STN/NEWTON EXCH/SCOTTSDALE,Southeast,Std. Bus,All Day Frequent,66000,36000,12.3,20 km/h,24,3046316,9063,7170,6412,6,83%,10486822,56496,,Newton; Scott Road; Scottsdale,Expo/Millennium Line,36393.0708065474,2024,724,36393.0708065824,52a601f0-53fb-4cc3-9709-0d5c51dba540
320,LANGLEY/FLEETWOOD/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,125000,64000,14.5,21 km/h,36,2168022,6449,5162,4521,14,79%,5313827,56175,,Cloverdale; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,58166.7722320211,2024,725,58166.7722319753,bc9a3b59-5699-4f7a-894a-2086e3b50064
321,WHITE ROCK/NEWTON/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,151000,75000,23.1,23 km/h,13,4328174,12701,10951,9173,35,79%,6827256,89297,,Columbia; King George; New Westminster; Newton; Scott Road; South Surrey; Surrey Central; White Rock Centre,Expo/Millennium Line,93127.5369621455,2024,726,93127.5369621456,e04e4d32-15d4-4515-a69c-7dd91915c5c0
322,NEWTON EX/SCOTTSDALE,Southeast,Mini-Bus,Standard,71000,21000,14.7,24 km/h,77,986370,2983,2215,1975,3,91%,1512419,37350,,,,33134.3830352347,2024,727,33134.383035244,eac84883-1dc1-4cb4-8828-c9e8a9615699
323,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Artic. Bus,All Day Frequent,56000,45000,10.5,18 km/h,9,4881294,14348,11810,10685,13,86%,5049848,63891,,Newton; Surrey Central,Expo/Millennium Line,21912.5002396903,2024,728,21912.5002397036,a5cb206a-16ac-4626-a636-199ced3f3a23
324,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,64000,36000,10.6,18 km/h,51,1568344,4770,3661,2929,12,86%,2291751,27993,,Newton; Surrey Central,Expo/Millennium Line,19914.0831884534,2024,729,19914.0831884483,a6183cc6-10a4-4410-996a-98eaf232a8cf
325,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,60000,29000,7.5,18 km/h,55,1424076,4231,3369,3008,16,87%,1985540,20638,,Newton; Surrey Central,Expo/Millennium Line,16053.4779496984,2024,730,16053.4779497021,92c34332-d844-4e5e-988d-1e46f05b1157
326,GUILDFORD/SURREY CENTRAL STN,Southeast,Std. Bus,Basic,88000,40000,12.4,19 km/h,109,588899,1969,933,771,15,80%,1255988,14802,,Guildford; King George; Surrey Central,Expo/Millennium Line,28599.9653101337,2024,731,28599.9653101053,294e7fbc-f2a9-43b4-bff7-633cfbca9adc
329,SURREY CENTRAL STN/SCOTTSDALE,Southeast,Std. Bus,Basic,82000,41000,8.9,17 km/h,146,180531,607,548,479,6,88%,383405,4311,,King George; Scottsdale; Surrey Central,Expo/Millennium Line,25817.8437149284,2024,732,25817.8437149279,f368a212-0bab-4100-9276-62e649f100fc
335,NEWTON/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,136000,52000,13.9,21 km/h,15,4207650,12930,9333,7734,33,77%,5773820,67534,,Gateway; Guildford; Newton; Surrey Central,Expo/Millennium Line,47392.430862536,2024,733,47392.4308625402,20339c1f-bb6c-487b-ba7b-c8323d714c2f
337,FRASER HEIGHTS/GUILDFORD/SURREY CTR,Southeast,Std. Bus,Peak Frequent,63000,30000,7.8,24 km/h,83,930925,2834,2121,1767,2,85%,2185976,23715,,Guildford; Surrey Central,Expo/Millennium Line,24415.3108501371,2024,734,24415.3108501438,2f61f571-948b-4d3e-a74d-36291bec17ad
340,SCOTTSDALE/22ND ST STN,Southeast,Double Decker,Peak Frequent,35000,26000,16.5,36 km/h,58,1379858,4286,3016,2399,1,92%,2831872,29273,,22nd Street; Scottsdale,Expo/Millennium Line,46450.2478267484,2024,735,46450.2478267418,f6f58280-8011-4c9f-b6b1-0b085d1fdb4a
341,GUILDFORD/NEWTON EXCH,Southeast,Std. Bus,Standard,82000,28000,9.1,20 km/h,76,1002158,3036,2235,1999,7,83%,2024962,20772,,,,25026.2985682934,2024,736,25026.2985683094,c19aed4a-68df-4887-86c5-acb9a66e44e0
342,LANGLEY CENTRE/NEWTON EXCHANGE,Southeast,Std. Bus,Standard,76000,46000,21,24 km/h,49,1580732,4964,3393,2590,17,77%,3886378,40154,,,,50914.6829420845,2024,737,50914.6829420752,65d124bb-ba5a-4dad-a4cd-475d87f92b84
345,KING GEORGE STN/WHITE ROCK CENTRE,Southeast,Std. Bus,Peak Frequent,84000,47000,20.3,24 km/h,68,1195178,4786,0,3366,29,77%,2469670,29109,,King George; White Rock Centre,Expo/Millennium Line,53745.4687319855,2024,738,53745.4687319558,e94566e9-13b2-4f0a-987a-f0828e8a29ad
350,WHITE ROCK CTR/CRESCENT BEACH,Southeast,Std. Bus,Standard,36000,13000,9.4,31 km/h,144,199430,554,562,498,0,93%,1999321,18541,Data reflects split with 351 in Sep 2019; See 351 for earlier data,,,17517.4398688789,2024,739,17517.4398688825,b748d6c1-4ed5-4e6d-97c2-3d62e36f304d
351,WHITE ROCK CTR/BRIDGEPORT STN,Southeast,Double Decker,All Day Frequent,44000,29000,38.3,48 km/h,52,1563900,4615,3794,3345,1,78%,6393870,60067,Data reflects split with 350 in Sep 2019,Bridgeport; Matthews; South Surrey; White Rock Centre,Canada Line,112160.61191056,2024,740,112160.611910589,02e481f5-012f-4e34-be0a-e74a26165d6a
352,OCEAN PARK /BRIDGEPORT STN,Southeast,Std. Bus,Peak Only - Limited,47000,26000,43.6,49 km/h,157,113738,456,0,265,0,82%,976734,9276,,Bridgeport; South Surrey; White Rock Centre,Canada Line,115325.32827314,2024,741,115325.328273156,9cd9a513-5ab0-41ac-a2a5-1092f0d41dc7
354,WHITE ROCK SOUTH/BRIDGEPORT STATION,Southeast,Std. Bus,Peak Only - Limited,72000,40000,46.1,42 km/h,155,122089,489,0,270,4,80%,815855,7832,,Bridgeport; South Surrey; White Rock Centre,Canada Line,125387.078779959,2024,742,125387.078779968,b6c61af8-a2c4-4a95-9e81-a4d5b99fcd8c
360,OCEAN PARK/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Basic,36000,12000,12.3,29 km/h,174,65444,220,105,79,0,74%,608120,8813,,,,20607.7389385164,2024,743,20607.7389384884,36a713af-acfb-4b5b-a268-7ce77ea1c19e
361,OCEAN PARK/WHITE ROCK CENTRE,Southeast,Mini-Bus,Basic,42000,14000,11.2,27 km/h,161,100610,334,162,139,0,83%,646831,9373,,,,19923.9608501822,2024,744,19923.9608501706,077bc8e5-9baa-44b2-83d8-a133abf108c9
362,SEASIDE/WHITE ROCK CENTRE,Southeast,Mini-Bus,Standard,27000,11000,3.9,20 km/h,164,94492,208,369,362,0,76%,364176,5479,,,,10123.5047682798,2024,745,10123.5047682729,ae70304f-fd64-492c-afa6-62ce1e57c4af
363,SOUTHPOINT/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Standard,56000,25000,12.3,25 km/h,140,223740,630,607,542,0,81%,1268119,18518,,,,24201.6926581517,2024,746,24201.6926581365,b48c3a9c-f84d-4d71-8663-5d7065e95fbe
364,LANGLEY CTR/ SCOTTSDALE,Southeast,Std. Bus,Standard,92000,42000,21.7,23 km/h,45,1860283,5706,4189,3412,16,72%,3437474,39288,,,,55646.8825108231,2024,747,55646.8825108368,a6f82520-56e2-4482-9847-4f2ee608c010
371,SURREY CNTRL/SCOTT RD STN,Southeast,Mini-Bus,Basic,40000,24000,8.2,21 km/h,132,278814,864,648,463,1,81%,615613,11610,,Gateway; Scott Road; Surrey Central,Expo/Millennium Line,15028.6345896085,2024,748,15028.6345895877,bb799a1e-a5c8-49df-b3ac-90a3f7b8ea4c
373,GUILDFORD/ SURREY CNTRL STN,Southeast,Mini-Bus,Peak Frequent,72000,31000,10.5,22 km/h,88,893769,2709,2041,1742,4,72%,1319484,30409,,Gateway; Guildford; Surrey Central,Expo/Millennium Line,24320.4566444591,2024,749,24320.4566444899,b1febea3-5dd7-45b0-892a-0572fcd49675
375,WHITE ROCK/WHITE ROCK STH/GUILDFORD,Southeast,Std. Bus,Standard,99000,42000,22.8,22 km/h,78,985569,2345,3715,3206,8,75%,2659860,27969,,,,56367.1899815135,2024,750,56367.1899814996,c09610e1-2247-48d4-887a-f89acdd02ad9
388,22ND ST STN/CARVOLTH EXCH,Southeast,Std. Bus,Peak Only - Limited,67000,57000,26.3,28 km/h,124,434050,1738,0,1266,2,69%,1561349,15383,,22nd Street; Carvolth,Expo/Millennium Line,76927.9776375819,2024,751,76927.9776375455,987843dd-95ed-4b42-9da0-442eb6b94a2f
391,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Peak Only - Limited,47000,17000,10.7,19 km/h,165,94436,378,0,207,7,89%,223483,2635,,Scott Road; Scottsdale,Expo/Millennium Line,22783.6150015869,2024,752,22783.615001583,b5faeb0e-c059-496b-931c-d45b1b513bd6
393,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only - Limited,78000,47000,13.4,18 km/h,152,131106,525,0,326,31,76%,221969,2332,,Newton; Surrey Central,Expo/Millennium Line,35081.9837738247,2024,753,35081.9837738322,dad873b4-6b99-470e-a44a-944802363d57
394,WHITE ROCK/KING GEORGE STN EXPRESS,Southeast,Std. Bus,Peak Only - Limited,89000,50000,21.4,26 km/h,139,224395,899,0,550,2,82%,1268118,9037,,King George; Newton; South Surrey; White Rock Centre,Expo/Millennium Line,57836.0670306719,2024,754,57836.0670307182,4291d6d5-86b4-4d5f-a363-66628de371c7
395,LANGLEY CENTRE/KING GEORGE STN,Southeast,Std. Bus,Peak Only - Limited,83000,51000,20.9,26 km/h,148,164676,660,0,408,11,80%,692951,6536,,King George; Langley Centre,Expo/Millennium Line,48383.667993447,2024,755,48383.6679934512,fc5ecec3-a3cb-41e3-b307-8c8595fba622
401,RICHMOND-BRIGHOUSE STN / ONE ROAD,Southwest,Std. Bus,Peak Frequent,64000,34000,9.4,24 km/h,62,1241840,3808,2797,2282,0,80%,3171735,29485,,Richmond-Brighouse; Steveston,Canada Line,25652.1161892903,2024,756,25652.1161893007,1096c65a-d0ed-46da-a7aa-d0a56dffb61e
402,TWO ROAD/BRIGHOUSE STATION,Southwest,Std. Bus,Peak Frequent,73000,31000,9.1,23 km/h,91,858965,2726,1647,1454,2,91%,2315531,21313,,Richmond-Brighouse; Steveston,Canada Line,17586.1286430121,2024,757,17586.128643013,eff70167-cd6e-4676-8606-bce73e7d28b7
403,BRIDGEPORT STN/THREE ROAD,Southwest,Std. Bus,Peak Frequent,73000,65000,11.9,21 km/h,47,1679904,4906,4253,3649,5,81%,4087265,38841,,Aberdeen; Bridgeport; Lansdowne; Richmond-Brighouse,Canada Line,28702.3564600393,2024,758,28702.3564600677,a1cd91a1-4cfa-44d3-812c-323e5ff91993
404,FOUR ROAD/BRIGHOUSE STATION,Southwest,Std. Bus,Standard,55000,37000,8.3,24 km/h,119,470095,1447,1012,881,0,87%,1986818,18384,,Richmond-Brighouse,Canada Line,17908.9618119887,2024,759,17908.9618120019,32776043-fd4a-4485-9647-b54e843681ea
405,FIVE ROAD/CAMBIE,Southwest,Std. Bus,Standard,83000,79000,18.7,25 km/h,103,657401,2091,1277,1083,0,68%,2446474,23129,,Knight Street-Marine Drive; Lansdowne; Richmond-Brighouse,Canada Line,49994.9128825953,2024,760,49994.912882628,7e195415-bde8-4d2e-9214-0187afced70c
406,RICHMOND BRIGHOUSE STN/STEVESTON,Southwest,Std. Bus,All Day Frequent,74000,30000,10,26 km/h,57,1386721,4103,3325,2955,2,94%,3915560,36473,,Richmond-Brighouse; Steveston,Canada Line,22156.0230953003,2024,761,22156.0230953128,39723237-7e93-4d3b-9725-63ea488973e4
407,GILBERT/BRIDGEPORT,Southwest,Std. Bus,Standard,98000,83000,16.7,24 km/h,85,916547,2983,1533,1449,0,77%,3605710,33254,,Bridgeport; Knight Street-Marine Drive; Lansdowne; Steveston,Canada Line,54647.2604467127,2024,762,54647.2604467071,53752011-f94d-4cb6-ac7a-0c1fb4353e1a
408,BRIGHOUSE/IRONWOOD/RIVERPORT,Southwest,Std. Bus,Peak Frequent,63000,37000,8.3,23 km/h,65,1214568,3827,2479,2044,4,84%,2866000,26822,,Richmond-Brighouse,Canada Line,19378.7244293608,2024,763,19378.724429342,d2caa44c-91ac-4d9c-bef4-b2106bb32171
410,RICHMOND-BRIGHOUSE STN/22ND ST STN,Southwest,Std. Bus,All Day Frequent,79000,78000,18.3,27 km/h,19,3381191,10259,7758,6512,10,82%,6959054,69858,,22nd Street; Aberdeen; Lansdowne; Richmond-Brighouse,Canada Line; Expo/Millennium Line,66894.8100992632,2024,764,66894.8100992577,787bcc8a-7d8e-4d6c-a158-f47587ce3b29
412,BRIDGEPORT STATION/SEA ISLAND SOUTH,Southwest,Mini-Bus,Basic,9000,18000,6.9,29 km/h,156,118202,460,66,112,0,90%,712016,8499,,Bridgeport,Canada Line,15746.4777603163,2024,765,15746.4777603333,41b7f88d-eb6e-40da-bdd1-e2a2e0ce368c
413,RIVERPORT/STEVESTON,Southwest,Mini-Bus,Basic,42000,18000,10.7,27 km/h,154,122624,382,283,197,0,80%,670879,9674,,,,23291.6109492409,2024,766,23291.610949262,f0f9d6b1-9b19-45de-8cd7-9c8c38932dde
414,RICHMOND OVAL/BRIGHOUSE STN,Southwest,Mini-Bus,Basic,45000,29000,4.1,18 km/h,179,55420,190,151,128,0,76%,267847,3886,,Richmond-Brighouse,Canada Line,12242.9764405705,2024,767,12242.9764405423,c71b38f4-8b77-4da0-bb40-f46b3b2717e3
416,EAST CAMBIE/BRIGHOUSE STATION,Southwest,Mini-Bus,Peak Only - Limited,58000,58000,10.9,22 km/h,170,69992,280,0,157,1,67%,323553,4754,,Lansdowne; Richmond-Brighouse,Canada Line,22598.430208726,2024,768,22598.4302087399,d15d060e-43c0-4cad-9869-5b89a939a037
418,KINGSWOOD/22ND ST STN,Southwest,Std. Bus,Peak Only - Limited,15000,12000,8.5,30 km/h,133,273185,1093,0,987,5,75%,754286,7653,,22nd Street,Expo/Millennium Line,28355.3278022649,2024,769,28355.32780226,4e2df33c-0ee0-44a8-99a0-77530e934ca8
430,METROTOWN/BRIGHOUSE STATION,Southwest,Std. Bus,Peak Frequent,116000,87000,18.9,22 km/h,31,2432584,7255,5816,4978,13,66%,4405034,46782,,Bridgeport; Metrotown; Richmond-Brighouse,Canada Line; Expo/Millennium Line,39050.3139010241,2024,770,39050.313901024,38c39a31-8847-4374-bd98-a615c4988df8
501,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,95000,80000,27.4,25 km/h,41,2041306,6539,4252,2954,22,80%,4986833,52486,,Carvolth; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,71141.1368100063,2024,771,71140.9668099704,cb75ef30-42a0-462e-9863-0ca1d5bf9231
502,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,82000,48000,14.2,24 km/h,38,2093162,6101,5481,4445,13,76%,6241032,60894,Data reflects service redesign with 503 in Sep 2019,King George; Langley Centre; Surrey Central,Expo/Millennium Line,48411.5629686571,2024,772,48411.5629686289,e9a445e7-6d99-4c45-92bd-45f9aff8aad1
503,ALDERGROVE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,104000,60000,22.5,28 km/h,30,2750420,8344,6445,5195,26,77%,7954672,83870,Data reflects service redesign with 502 in Sep 2019,King George; Langley Centre; Surrey Central,Expo/Millennium Line,82280.3280092429,2024,773,82280.3280092319,b3f5159b-2260-4427-a11d-e21a399e3bb3
509,WALNUT GROVE/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only - Limited,94000,52000,20.6,32 km/h,158,107198,430,0,203,2,80%,702423,7291,,Carvolth; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,84268.0671341084,2024,774,84268.0671340683,980b94b7-8564-4597-867b-7c6506b03f37
531,WHITE ROCK CENTRE/WILLOWBROOK,Southeast,Std. Bus,Standard,72000,49000,19.7,26 km/h,80,980923,3177,1805,1475,10,91%,3091104,33130,,,,59559.5394835332,2024,775,59559.5394835286,16e63dd1-a94d-4c07-a6f6-a0cb887c1836
555,CARVOLTH EXCH / LOUGHEED STN,Southeast,Double Decker,Peak Frequent,30000,16000,22.1,66 km/h,71,1181696,3970,1921,1435,6,92%,2150689,20961,,Carvolth; Lougheed Town Centre,Expo/Millennium Line,66250.3282812118,2024,776,66250.3282812394,b6ebfbd4-7126-457c-9560-777867790c2e
595,MAPLE MEADOWS STN/LANGLEY CENTRE,Southeast,Std. Bus,Standard,51000,39000,17.6,28 km/h,107,611042,1941,1221,989,3,84%,1951907,20043,,Carvolth; Langley Centre; Maple Meadows,West Coast Express,37387.6624424865,2024,777,37387.6624425073,c505db17-d08f-4b45-9044-f16d64715b11
601,SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT,Southwest,Std. Bus,Peak Frequent,39000,27000,24.9,36 km/h,74,1126506,3308,2795,2421,3,75%,4854479,46418,,Bridgeport; Ladner; South Delta,Canada Line,97661.7663943718,2024,778,97661.7663944144,9d243d8b-fac4-4a4b-945b-023cee68f70e
602,TSAWWASSEN HEIGHTS/BRIDGEPORT,Southwest,Std. Bus,Peak Only - Limited,26000,20000,26.1,40 km/h,171,69501,279,0,148,0,75%,,5324,,Bridgeport; South Delta,Canada Line,74311.1020080029,2024,779,74311.1020080395,8f62e540-1e62-48d9-9d10-d3e7caa97b54
603,BEACH GROVE/BRIDGEPORT,Southwest,Std. Bus,Peak Only - Limited,32000,20000,14.7,34 km/h,183,37852,152,0,57,0,75%,421456,3899,,Bridgeport; South Delta,Canada Line,82137.2627807853,2024,780,82137.2627808097,04bfdff3-560e-426e-88ab-880558a26419
604,ENGLISH BLUFF/BRIDGEPORT,Southwest,Std. Bus,Peak Only - Limited,32000,20000,16.6,35 km/h,184,36316,146,0,64,0,81%,,3921,,Bridgeport; South Delta,Canada Line,81679.166182618,2024,781,81679.1661826326,8c8fcf8e-c317-4762-987f-7287b506b687
609,SOUTH DELTA EXCH/LADNER EXCH,Southwest,Mini-Bus,Basic,24000,12000,17.4,26 km/h,180,44306,129,124,90,0,76%,419282,9238,Data reflects extension to Ladner Exchange in Sep 2024,,,29562.93176851,2024,782,29562.9317685104,05d0f76a-2b64-4f6e-8f15-edbb07a24b5c
614,ENGLISH BLUFF/SOUTH DELTA EXCH,Southwest,Mini-Bus,Basic,22000,7000,6.7,27 km/h,193,11453,34,30,23,0,86%,197143,3049,,,,19876.3731340239,2024,783,19876.373134037,69ccfa70-a2be-4618-b014-1472a1b38718
616,LADNER SOUTH/LADNER EXCH,Southwest,Mini-Bus,Basic,15000,7000,3.8,26 km/h,186,26885,89,44,36,0,93%,300047,4256,,,,11333.7624934473,2024,784,11333.7624934538,b9191e53-e7cc-4b33-8cfa-07296bd579bc
618,LADNER NORTH/LADNER EXCH,Southwest,Mini-Bus,Basic,16000,7000,4.3,27 km/h,187,22822,76,42,26,0,93%,297993,4342,,,,14958.0348414475,2024,785,14958.0348414776,44e23ee8-55b5-4b45-98b3-487b7a9220ed
619,BOUNDARY BAY/SOUTH DELTA REC CENTRE,Southwest,Mini-Bus,Basic,11000,5000,5.5,28 km/h,194,10256,31,23,21,0,91%,182361,2940,,,,11306.0160460614,2024,786,11306.0160460649,6d8ed4e6-d5f7-4989-be18-f7a09e4bdd96
620,TSAWWASSEN FERRY/BRIDGEPORT STATION,Southwest,Double Decker,Special,16000,17000,27.9,47 km/h,94,792774,1960,2534,2660,11,71%,2715435,25527,,Bridgeport; Ladner; Tsawwassen Ferry Terminal,Canada Line,74322.1442392193,2024,787,74322.1442392322,a2b92b7e-508a-487d-a309-8ba50341fc56
