Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID
106,NEW WESTMINSTER STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,66000,28000,6.3,14 km/h,25,3013356,9175,7172,5475,7,86%,3861542,37812,,Edmonds; New Westminster,Expo/Millennium Line,10849.7340515822,2024,648,10849.7340515853,3f502492-88c2-4b7c-9dac-aca42c486b29
109,NEW WESTMINSTER STN/LOUGHEED STN,Burnaby/New Westminster,Mini-Bus,Basic,62000,31000,7.3,21 km/h,149,153372,484,311,258,0,87%,688698,10297,,Columbia; Lougheed Town Centre; New Westminster; Sapperton,Expo/Millennium Line,12061.2733750046,2024,649,12061.2733750027,82fb7bde-1044-4dcb-bed3-f410f3aa06a9
110,LOUGHEED STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard,87000,58000,11.8,22 km/h,86,902144,2903,1643,1443,1,82%,3383442,32243,,Lougheed Town Centre; Metrotown; Patterson; Production Way-University; Sperling-Burnaby Lake,Expo/Millennium Line,38513.2887959602,2024,650,38513.2887959583,5360388c-dfcb-4fea-aeae-a9c7be3f565e
112,EDMONDS STN/NEW WEST STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,55000,20000,4.2,17 km/h,72,1140726,3564,2648,1779,1,92%,2014423,19581,,Edmonds; New Westminster,Expo/Millennium Line,9072.15347576976,2024,651,9072.15347578714,7776d9b2-8682-4ba0-8edf-efe8236fb33c
116,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,63000,53000,14.1,24 km/h,70,1190813,4200,1385,1124,12,90%,3129565,29753,,Edmonds; Metrotown,Expo/Millennium Line,37917.2858799805,2024,652,37917.2858799765,37ec7dec-1d8e-4446-8e5c-637252b7acb1
119,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,75000,39000,5.7,16 km/h,44,1899914,5613,4755,3924,3,94%,3262043,30225,,Edmonds; Metrotown,Expo/Millennium Line,9188.35524264793,2024,653,9188.35524263194,238b138c-3043-4963-847f-0aed4ea6daba
123,NEW WEST STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,79000,56000,7.8,19 km/h,40,2049636,6328,4425,3753,5,84%,4459387,44577,,Brentwood Town Centre; New Westminster,Expo/Millennium Line,24897.7671589813,2024,654,24897.7671589972,7c928e24-4fe6-4a61-824e-758bab02b919
128,BRAID STN/22ND STREET STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,29000,22000,5.5,20 km/h,93,807410,2686,1337,1061,1,92%,1955923,19911,,22nd Street; Braid,Expo/Millennium Line,11435.2069399334,2024,655,11435.2069399409,1ecbe972-797e-44f2-8f6a-1de312ae5de2
129/133,PATTERSON STN/HOLDOM STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,130000,74000,9.9,20 km/h,46,1776095,5757,3297,2633,2,74%,4692654,43966,129/133 run as a connected route,Edmonds; Gilmore; Holdom; Metrotown; Patterson,Expo/Millennium Line,37041.3027113378,2024,656,37041.302711372,caf9cd8a-6a2e-4e15-a31b-5e2da55c46a7
130,METROTOWN/PENDER/KOOTENAY,Burnaby/New Westminster,Std. Bus,All Day Frequent,82000,58000,7.7,18 km/h,21,3255555,10241,7042,5222,10,76%,5213284,52933,Data reflects service redesign with 222 and 245 in Apr 2020,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,31052.2308358478,2024,657,31052.230835865,ae4adbf1-0ebf-408f-86d6-4ee842a61697
