SeasonYear,Lineno_renamed,DayType,Season,Hour_Range,Annual_Revenue_Hours,Annual_Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip
2022,3,SUN,Summer,6,129.4,159,3,52.16370862,31.24992544
2022,3,SUN,Summer,9,443.8,536.6,4.083333333,87.2908719,65.88382474
2022,3,SUN,Summer,15,221.4,267.4,4,97.07579858,74.62702016
2022,3,SUN,Summer,18,194,243.8,3.833333333,68.58973387,48.21162453
2022,3,SUN,Summer,21,168.4,209.6,3.666666667,51.34210654,32.75004069
2022,3,SUN,Summer,24,40.8,53.4,2,29.87998908,16.93199381
2022,4,MF,Fall,4,213.6,482.4,3,17.4384861,8.622362574
2022,4,MF,Fall,6,1575.6,1974,4.166666667,54.13032119,47.38207448
2022,4,MF,Fall,9,3494.4,4306.8,4.083333333,52.71611545,52.2140572
2022,4,MF,Fall,15,2293.2,2833.2,5,61.86773996,65.68291726
2022,4,MF,Fall,18,1236,1927.2,3.166666667,53.84798091,48.6521231
2022,4,MF,Fall,21,798,1065.6,3,42.02816639,25.8784543
2022,4,MF,Fall,24,42,163.2,1,18.33870033,10.69757519
2022,4,MF,Summer,4,142.4,321.6,3,16.70479605,8.259593604
2022,4,MF,Summer,6,1050.4,1316,4.166666667,40.43052807,35.3901889
2022,4,MF,Summer,9,2329.6,2871.2,4.083333333,46.10150935,45.66244736
2022,4,MF,Summer,15,1528.8,1888,5,53.72590549,57.03900299
2022,4,MF,Summer,18,824,1285.6,3.166666667,48.04687199,43.41077031
2022,4,MF,Summer,21,532,710.4,3,37.60042582,23.15211405
2022,4,MF,Summer,24,28,108.8,1,16.71882111,9.752645648
2022,4,SAT,Fall,4,10,47,1,6.827119917,4.551413278
2022,4,SAT,Fall,6,241.75,332,3.8,27.91829642,19.56303814
2022,4,SAT,Fall,9,727.5,890,4,57.11261252,57.70753557
2022,4,SAT,Fall,15,384.25,451.5,4,62.0415085,66.22069345
2022,4,SAT,Fall,18,209.5,309,2.644444444,54.06500607,47.19424488
2022,4,SAT,Fall,21,165.75,229,3,50.92665963,31.2633105
2022,4,SAT,Fall,24,8,42.75,1,54.00358586,28.80191246
2022,4,SAT,Summer,4,6.6666666,31.3333333,1,9.611868247,6.407912101
2022,4,SAT,Summer,6,161.1666666,221.3333332,3.833333333,24.43886237,17.12491297
2022,4,SAT,Summer,9,484.9999998,593.3333331,4,47.05961856,47.5498229
2022,4,SAT,Summer,15,256.1666665,300.9999999,4,51.58431798,55.05909492
2022,4,SAT,Summer,18,139.6666666,206,2.666666667,54.42901969,47.51199842
2022,4,SAT,Summer,21,110.4999999,152.6666666,3,50.26779936,30.85884347
2022,4,SAT,Summer,24,5.3333333,28.5,1,33.040797,17.62175829
2022,4,SUN,Fall,4,0,6.9,NULL,NULL,NULL
2022,4,SUN,Fall,6,162.9,242.4,2.5,28.33201459,17.0936488
2022,4,SUN,Fall,9,748.5,982.5,3.833333333,57.18638297,51.69566142
2022,4,SUN,Fall,15,418.2,548.1,4,64.23989608,62.18778829
2022,4,SUN,Fall,18,262.5,391.2,3,51.42665392,41.66511313
2022,4,SUN,Fall,21,180,236.7,3,35.7219484,19.84552689
2022,4,SUN,Fall,24,9.6,37.8,1,18.15019684,9.680104982
2022,4,SUN,Summer,4,0,4.6,NULL,NULL,NULL
2022,4,SUN,Summer,6,108.6,161.6,2.5,24.48440445,14.77225735
2022,4,SUN,Summer,9,499,655,3.833333333,49.23125193,44.50433825
2022,4,SUN,Summer,15,278.8,365.4,4,57.07433231,55.25112447
2022,4,SUN,Summer,18,175,260.8,3,50.49697793,40.91190342
2022,4,SUN,Summer,21,120,157.8,3,40.98320957,22.76844976
2022,4,SUN,Summer,24,6.4,25.2,1,13.70415063,7.308880336
2022,7,MF,Fall,4,256.8,482.4,3,36.99980729,21.99432989
2022,7,MF,Fall,6,2107.2,2677.2,4.5,63.87025967,69.2322074
2022,7,MF,Fall,9,4390.8,5481.6,4.166666667,57.83953251,70.54494982
2022,7,MF,Fall,15,2523.6,3025.2,4.5,71.60485969,92.953716
2022,7,MF,Fall,18,1414.8,1873.2,3,57.3931657,62.65420589
2022,7,MF,Fall,21,1182.066667,1545.516667,2.861111111,38.64867191,36.93234177
2022,7,MF,Fall,24,280.8,507.6,1.5,16.71261797,13.03584202
2022,7,MF,Summer,4,171.2,321.6,3,37.53947793,22.3151341
2022,7,MF,Summer,6,1404.8,1784.8,4.5,58.03110307,62.90285
2022,7,MF,Summer,9,2927.2,3654.4,4.166666667,55.70332628,67.93949028
2022,7,MF,Summer,15,1682.4,2016.8,4.5,64.42818086,83.63732368
2022,7,MF,Summer,18,943.2,1248.8,3,62.47257419,68.19922682
2022,7,MF,Summer,21,788.2,1030.65,2.861111111,43.0081963,41.08977009
2022,7,MF,Summer,24,187.2,338.4,1.5,17.90935384,13.96929599
2022,7,SAT,Fall,4,21.25,65.75,1.466666667,16.61289309,7.844977292
2022,7,SAT,Fall,6,300.75,398,3.644444444,38.84573217,35.40258773
2022,7,SAT,Fall,9,916,1100.5,4.155555556,60.35718475,73.71624164
2022,7,SAT,Fall,15,554.75,664.25,4.822222222,60.89887003,77.66355896
2022,7,SAT,Fall,18,320.25,424.75,3.155555556,60.4121588,67.88418897
2022,7,SAT,Fall,21,259.5,337,2.822222222,53.77487187,54.72384019
2022,7,SAT,Fall,24,63.25,108,1.5,36.5236467,30.80160872
2022,7,SAT,Summer,4,14.1666666,43.8333333,1.5,19.22472322,9.078341478
2022,7,SAT,Summer,6,200.4999999,265.3333333,3.666666667,37.1603405,33.86658303
2022,7,SAT,Summer,9,610.6666665,733.6666665,4.166666667,53.72498602,65.61611624
2022,7,SAT,Summer,15,369.8333332,442.8333332,4.833333333,53.75818264,68.5571306
2022,7,SAT,Summer,18,213.5,283.1666666,3.166666667,59.24496395,66.57263054
2022,7,SAT,Summer,21,172.9999999,224.6666666,2.833333333,52.00059194,52.91824941
2022,7,SAT,Summer,24,42.1666666,71.9999999,1.5,28.97639437,24.43675922
2022,7,SUN,Fall,4,14.7,37.2,1,19.58199485,15.99196246
2022,7,SUN,Fall,6,191.1,256.8,2,41.90980449,37.07853536
2022,7,SUN,Fall,9,918,1132.5,3.833333333,62.08412837,68.83240319
2022,7,SUN,Fall,15,501.9,589.5,4,64.23338142,74.62669939
2022,7,SUN,Fall,18,330.9,423,3,49.80672429,50.86742305
2022,7,SUN,Fall,21,282.9,359.1,2.833333333,34.43409886,31.83466199
2022,7,SUN,Fall,24,71.1,129,1.5,14.35683677,11.34190104
2022,7,SUN,Summer,4,9.8,24.8,1,20.40377623,16.66308392
