Year,line_no,DayType,sheet,Time_Range,direction_name_EastNorth,direction_name_WestSouth,Revenue_Hours,Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip,Average_Peak_Passenger_Load_EastNorth,Average_Peak_Load_Factor_Percentage_EastNorth,Average_Peak_Passenger_Load_WestSouth,Average_Peak_Load_Factor_Percentage_WestSouth
2019,2,SUN,Fall,24:00-04:00,EAST,WEST,119.4,134.4,3,12.56331285,7.023941799,4.052695106,0.081053902,6.451003086,0.129020062
2019,2,SUN,Summer,04:00-06:00,EAST,WEST,0,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,2,SUN,Summer,06:00-09:00,EAST,WEST,143,166.4,3.833333333,56.49268522,27.49751984,23.31828704,0.466365741,20.33333333,0.406666667
2019,2,SUN,Summer,09:00-15:00,EAST,WEST,594.8,606,6.583333333,75.28273469,47.15317842,30.87024636,0.617404927,30.90806878,0.618161376
2019,2,SUN,Summer,15:00-18:00,EAST,WEST,366,366,7.5,95.75370895,64.8722608,40.57546296,0.811509259,50.0952381,1.001904762
2019,2,SUN,Summer,18:00-21:00,EAST,WEST,235.8,252.2,5.166666667,119.4587409,75.55243946,59.5,1.19,39.96891534,0.799378307
2019,2,SUN,Summer,21:00-24:00,EAST,WEST,144,149,4,92.69444444,46.34722222,32.02777778,0.640555556,32.20138889,0.644027778
2019,2,SUN,Summer,24:00-04:00,EAST,WEST,79.6,89.6,3,12.92365591,7.328125,4.197916667,0.083958333,10.54166667,0.210833333
2022,2,MF,Fall,04:00-06:00,EAST,WEST,142.8,205.2,2,36.08058959,17.889959,16.44530058,0.328906012,13.02923977,0.260584795
2022,2,MF,Fall,06:00-09:00,EAST,WEST,2120.4,2419.2,8.833333333,70.24562,38.94135479,32.4934756,0.649869512,31.30019891,0.626003978
2022,2,MF,Fall,09:00-15:00,EAST,WEST,3780,3960,6.75,56.27482196,36.52145206,24.98813055,0.499762611,28.30881556,0.566176311
2022,2,MF,Fall,15:00-18:00,EAST,WEST,2865.6,2929.766667,9.666666667,67.39535293,46.27713589,32.49316253,0.649863251,35.82869728,0.716573946
