CalendarYear,StationName,AnnualStationBrdgs,AvgStationBrdgs_MF,AvgStationBrdgs_Sat,AvgStationBrdgs_SunHol
2023,Lake City Way Station,294202.4737,990.3654218,493.0892858,368.4179643
2023,Langara-49th Avenue Station,2405765.68,7564.93916,5069.875648,4185.53335
2023,Lansdowne Station,1457439.219,4243.382659,3959.597216,3120.339684
2023,Lincoln Station,1173505.049,3509.449609,3026.013606,2295.598965
2023,Lougheed Town Centre Station,3684646.428,11557.23581,8200.761557,6205.389384
2023,Main Street-Science World Station,3768215.146,11411.38685,9452.765762,7049.522795
2023,Marine Drive Station,3278851.885,9731.738705,8127.149155,6911.335019
2023,Metrotown Station,8216543.379,24095.7971,21560.26405,17513.45732
2023,Moody Centre Station,751652.0482,2322.199187,1825.461893,1284.365452
2023,Nanaimo Station,2183163.693,6583.57701,5390.886577,4244.445348
2023,New Westminster Station,4408704.475,13786.10233,9977.842043,7458.303479
2023,Oakridge-41st Avenue Station,2312398.198,7001.207333,5578.672265,4489.058637
2023,Olympic Village Station,1205458.809,3760.493302,2688.622619,2099.629785
2023,Patterson Station,1332950.543,4001.594409,3310.008654,2642.989849
2023,Production Way-University Station,1437385.076,4952.404928,2133.058782,1588.712738
2023,Renfrew Station,1087763.229,3410.209942,2364.531194,1877.961525
2023,Richmond-Brighouse Station,3452892.791,10351.87813,8498.422832,6950.089479
2023,Royal Oak Station,1729792.628,5361.533935,3961.437889,3063.525934
2023,Rupert Station,825658.8057,2428.922388,2089.977286,1787.044767
2023,Sapperton Station,890111.9701,2945.307261,1639.928189,1192.240513
2023,Scott Road Station,3466406.846,10723.79183,7939.629404,6211.426437
2023,Sea Island Station,312180.9606,978.0202513,626.9175078,578.1304445
2023,Sperling-Burnaby Lake Station,592102.9969,1860.167078,1310.090793,991.9895612
2023,Stadium-Chinatown Station,4444380.452,12995.96289,12893.51716,8733.26489
2023,Surrey Central Station,4923460.646,15087.86672,11574.07416,9125.042485
2023,Templeton Station,1268955.178,3351.922345,3696.118625,3766.964441
2023,VCC-Clark Station,815851.7975,2789.293082,1294.747024,919.6203183
2023,Vancouver City Centre Station,4753925.113,14079.19492,12017.97286,9963.526055
2023,Waterfront Station,9893373.057,30014.96166,23730.54774,19085.22735
2023,YVR-Airport Station,2810451.545,7823.434275,7209.801835,7605.550563
2023,Yaletown-Roundhouse Station,2981916.334,8786.414042,7904.997205,6149.669599
2024,22nd Street Station,3429015.152,10696.05973,7355.387511,5895.63276
2024,29th Avenue Station,2277916.577,6851.150378,5524.284922,4380.266416
2024,Aberdeen Station,1364789.195,3739.956102,4138.537493,3359.018096
2024,Braid Station,1469275.407,4693.90475,3003.614337,2220.079667
2024,Brentwood Town Centre Station,2284334.467,7074.179052,5198.732478,3885.073756
2024,Bridgeport Station,3287703.865,9781.1694,8047.290133,6672.824573
2024,Broadway-City Hall Station,3535079.833,11093.33781,7495.216461,5893.653276
2024,Burquitlam Station,1569973.421,4986.847848,3277.531865,2427.948453
2024,Burrard Station,6003130.892,19155.88235,11940.96732,9421.321317
2024,Columbia Station,1434886.022,4467.868252,3298.349942,2321.117385
2024,Commercial-Broadway Station,6757027.019,20644.63231,15829.38118,12205.93465
2024,Coquitlam Central Station,1612659.269,4934.481866,3883.580987,2800.416504
2024,Edmonds Station,3487281.663,10930.95588,7466.848403,5803.038944
2024,Gateway Station,2227265.749,6847.663212,5037.162375,4004.079466
2024,Gilmore Station,1041450.241,3408.218367,1993.392434,1371.499397
2024,Granville Station,6149464.452,18523.96599,14783.65679,11819.18105
2024,Holdom Station,860512.507,2707.32079,1872.641311,1369.419723
2024,Inlet Centre Station,653543.145,2036.584164,1488.823728,1061.766989
2024,Joyce-Collingwood Station,5110734.193,15159.80381,12636.35118,10443.88899
