CalendarYear,Lineno_renamed,AnnualBoardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours,Annual_Service_Hours,Average_Boarding_Per_Revenue_Hour,Average_Peak_Passenger_Load,Average_Peak_Load_Factor,Average_Capacity_Utilization,Revenue_Hrs_w_Overcrowding,Perc_Trips_w_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2025,159,745021.9869,2408.244929,1534.621352,1045.798989,21722.61667,27905.98333,34.29706459,18.82425048,37.64850097,21.51017886,3.009000723,2.505554184,84.29111331,0.520044787,25.63866896
2025,160,1272337.886,3906.898011,2861.981873,2378.524955,54458.54,65040.75,23.36342264,14.02945452,28.05890905,15.30326864,0.454423724,0.387807865,81.00470716,1.109785573,25.13099195
2025,169,318052.0277,880.8180692,883.5642043,825.597045,11290.18333,16461.38333,28.17066989,8.305240431,27.91015904,15.24698629,0.081457383,0.073072707,93.08711774,0.055546232,28.32024814
2025,170,92031.60364,323.880774,114.6457941,88.42446747,6553.833333,9381.166667,14.04240831,3.490397634,14.32482754,7.238208465,0.024112571,0.019642506,91.02662722,0.873299645,22.40417858
2025,171/172,559641.4631,1827.648962,1082.443389,770.7302182,20039.68056,27864.51389,27.92666587,8.424157262,34.99802844,23.3414628,0.437691223,0.357164117,84.44553395,2.764483366,25.32951687
2025,173/174,419807.1929,1372.209084,798.2146295,584.495068,31757.16667,39456.86667,13.21928991,5.228355454,21.5756166,10.14801131,0.012928225,0.011518083,79.08522458,0.835669666,23.29530297
2025,175,100309.7816,403.3177554,NULL,286.978302,4556.966667,6246.25,22.01240189,7.118258891,29.65941205,18.74501866,0.075791069,0.061236987,79.76755984,1.207016764,20.7547716
2025,179,14417.60096,NULL,319.3307148,379.5598807,753.65,1116.983333,19.13036682,NULL,NULL,NULL,NULL,NULL,92.30279898,0.003439499,27.04603385
2025,180,711900.6671,2403.972225,1090.343534,907.9644869,19232.7,29530.25,37.01511837,12.26391567,33.62973896,17.62571384,0.636956027,0.550986185,90.28597586,0.34209907,22.07629418
2025,181,61849.975,208.3105648,100.0955994,76.67667336,4946.25,7375.716667,12.50441749,3.411017335,14.21257223,6.68202369,0.019496503,0.019762846,88.74517576,0.031713286,30.35977655
