CalendarYear,Lineno_renamed,AnnualBoardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours,Annual_Service_Hours,Average_Boarding_Per_Revenue_Hour,Average_Peak_Passenger_Load,Average_Peak_Load_Factor,Average_Capacity_Utilization,Revenue_Hrs_w_Overcrowding,Perc_Trips_w_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2022,2,3171298.525,9514.531997,8057.132503,6145.563637,46083.56667,62140.81667,68.81625609,28.24730619,56.49461238,28.62766099,5.357524812,4.998635318,85.17025161,3.875073268,17.46452875
2022,3,3395122.433,9938.816984,9142.165743,7086.281137,48237.36667,57128.2,70.38366038,28.04151035,40.0593005,23.72200499,0.242415506,0.213254593,75.01090608,2.448181552,13.92021766
2022,4,1994536.606,5847.32051,5089.396334,4349.957481,46622.11667,62106.75,42.78091062,27.05415968,57.56204187,34.62868729,5.487972183,4.879530269,79.17508101,1.683743829,18.5555035
2022,005/006,4103997.924,11947.27489,10670.44922,9106.04392,58217.78278,79801.66611,70.49388912,24.39403205,51.90219585,31.10633144,6.451273637,5.810397554,83.44713906,3.372219429,9.860752153
2022,7,3051161.729,8951.98343,8215.893855,6294.736186,59344.11667,76621.33333,51.41472989,25.26840839,53.76119156,29.28759303,2.649226688,2.519405341,74.59296002,1.561604356,17.04976258
2022,8,2810976.219,8314.160409,7321.535748,5745.864174,41164.50694,50475.60694,68.28640564,25.15324733,35.93321047,25.2418819,0.876631508,0.693512304,77.7543694,1.815606841,14.38755567
2022,9,3535997.259,10790.86082,7883.297636,7037.522669,63916.26222,87607.49556,55.32234107,23.61714078,47.23428155,25.74296266,3.768618547,2.923043447,84.58244003,2.150302263,15.55044756
2022,10,2658881.476,8231.207984,6012.63232,4796.230323,48252.81667,57548.46667,55.10313511,23.21654798,33.72097521,20.83769644,0.198609374,0.183121436,77.62132166,2.040558119,16.28369799
2022,14,2810585.365,7836.031611,8747.002714,6389.215631,66405.85,85364.56667,42.32436396,25.83505866,54.94956669,33.02572447,5.605868321,4.793311176,76.85184429,1.892983938,17.49222956
2022,015/050,1994752.116,5717.62872,5542.633233,4477.589891,45863.45,57518.33333,43.4932853,16.34681855,32.69363711,18.59907965,2.066263549,1.7578125,80.01071778,0.647222493,15.87741625
