Route,Subregion,DayType,AvgDailyBoardings,Note
119,Burnaby/New Westminster,Mon-Fri,4400,
119,Burnaby/New Westminster,Sun/Hol,2600,
123,Burnaby/New Westminster,Sat,2800,
123,Burnaby/New Westminster,Mon-Fri,4300,
123,Burnaby/New Westminster,Sun/Hol,2200,
128,Burnaby/New Westminster,Sat,800,
128,Burnaby/New Westminster,Mon-Fri,1500,
128,Burnaby/New Westminster,Sun/Hol,600,
129,Burnaby/New Westminster,Sat,1100,
129,Burnaby/New Westminster,Mon-Fri,1900,
129,Burnaby/New Westminster,Sun/Hol,800,
130,Burnaby/New Westminster,Sat,3700,
130,Burnaby/New Westminster,Mon-Fri,4400,
130,Burnaby/New Westminster,Sun/Hol,2600,
131,Burnaby/New Westminster,Sat,,<100 average daily boardings
131,Burnaby/New Westminster,Mon-Fri,,<100 average daily boardings
131,Burnaby/New Westminster,Sun/Hol,,<100 average daily boardings
132,Burnaby/New Westminster,Sat,,<100 average daily boardings
132,Burnaby/New Westminster,Mon-Fri,,<100 average daily boardings
132,Burnaby/New Westminster,Sun/Hol,,<100 average daily boardings
133,Burnaby/New Westminster,Sat,800,
133,Burnaby/New Westminster,Mon-Fri,1500,
133,Burnaby/New Westminster,Sun/Hol,600,
134,Burnaby/New Westminster,Sat,500,
134,Burnaby/New Westminster,Mon-Fri,700,
134,Burnaby/New Westminster,Sun/Hol,400,
136,Burnaby/New Westminster,Sat,500,
136,Burnaby/New Westminster,Mon-Fri,800,
136,Burnaby/New Westminster,Sun/Hol,400,
144,Burnaby/New Westminster,Sat,1300,
144,Burnaby/New Westminster,Mon-Fri,2300,
144,Burnaby/New Westminster,Sun/Hol,1000,
145,Burnaby/New Westminster,Sat,600,
145,Burnaby/New Westminster,Mon-Fri,1100,
145,Burnaby/New Westminster,Sun/Hol,400,
146,Burnaby/New Westminster,Sat,100,
146,Burnaby/New Westminster,Mon-Fri,200,
146,Burnaby/New Westminster,Sun/Hol,100,
147,Burnaby/New Westminster,Sat,500,
147,Burnaby/New Westminster,Mon-Fri,800,
147,Burnaby/New Westminster,Sun/Hol,400,
148,Burnaby/New Westminster,Sat,300,
148,Burnaby/New Westminster,Mon-Fri,600,
148,Burnaby/New Westminster,Sun/Hol,300,
151,Northeast Sector,Sat,400,
151,Northeast Sector,Mon-Fri,700,
151,Northeast Sector,Sun/Hol,300,
152,Northeast Sector,Sat,1000,
152,Northeast Sector,Mon-Fri,1700,
152,Northeast Sector,Sun/Hol,700,
153,Northeast Sector,Sat,500,
153,Northeast Sector,Mon-Fri,1400,
153,Northeast Sector,Sun/Hol,500,
155,Burnaby/New Westminster,Sat,900,
155,Burnaby/New Westminster,Mon-Fri,1300,
155,Burnaby/New Westminster,Sun/Hol,600,
156,Northeast Sector,Sat,900,
156,Northeast Sector,Mon-Fri,1200,
156,Northeast Sector,Sun/Hol,400,
157,Northeast Sector,Sat,500,
157,Northeast Sector,Mon-Fri,800,
157,Northeast Sector,Sun/Hol,400,
159,Northeast Sector,Sat,1000,
159,Northeast Sector,Mon-Fri,1700,
159,Northeast Sector,Sun/Hol,500,
160,Northeast Sector,Sat,1900,
160,Northeast Sector,Mon-Fri,2500,
160,Northeast Sector,Sun/Hol,1400,
169,Northeast Sector,Sat,600,
169,Northeast Sector,Mon-Fri,600,
169,Northeast Sector,Sun/Hol,600,
170,Northeast Sector,Sat,,<100 average daily boardings
170,Northeast Sector,Mon-Fri,300,
170,Northeast Sector,Sun/Hol,,<100 average daily boardings
171,Northeast Sector,Sat,300,
171,Northeast Sector,Mon-Fri,400,
171,Northeast Sector,Sun/Hol,100,
172,Northeast Sector,Sat,400,
172,Northeast Sector,Mon-Fri,600,
172,Northeast Sector,Sun/Hol,200,
173,Northeast Sector,Sat,300,
173,Northeast Sector,Mon-Fri,400,
173,Northeast Sector,Sun/Hol,100,
174,Northeast Sector,Sat,200,
174,Northeast Sector,Mon-Fri,300,
174,Northeast Sector,Sun/Hol,,<100 average daily boardings
175,Northeast Sector,Mon-Fri,200,
180,Northeast Sector,Sat,700,
180,Northeast Sector,Mon-Fri,1400,
180,Northeast Sector,Sun/Hol,500,
181,Northeast Sector,Sat,,<100 average daily boardings
181,Northeast Sector,Mon-Fri,100,
181,Northeast Sector,Sun/Hol,,<100 average daily boardings
182,Northeast Sector,Sat,,<100 average daily boardings
182,Northeast Sector,Mon-Fri,200,
182,Northeast Sector,Sun/Hol,,<100 average daily boardings
