Route,Subregion,DayType,AvgDailyBoardings,Notes
119,Burnaby/New Westminster,Mon-Fri,4800,
119,Burnaby/New Westminster,Sat,3800,
119,Burnaby/New Westminster,Sun/Hol,3100,
123,Burnaby/New Westminster,Mon-Fri,5200,
123,Burnaby/New Westminster,Sat,3200,
123,Burnaby/New Westminster,Sun/Hol,2700,
128,Burnaby/New Westminster,Mon-Fri,1800,
128,Burnaby/New Westminster,Sat,900,
128,Burnaby/New Westminster,Sun/Hol,700,
129,Burnaby/New Westminster,Mon-Fri,2400,
129,Burnaby/New Westminster,Sat,1400,
129,Burnaby/New Westminster,Sun/Hol,1100,
130,Burnaby/New Westminster,Mon-Fri,7400,
130,Burnaby/New Westminster,Sat,4700,
130,Burnaby/New Westminster,Sun/Hol,3700,
131,Burnaby/New Westminster,Mon-Fri,100,
131,Burnaby/New Westminster,Sat,100,
131,Burnaby/New Westminster,Sun/Hol,<100 average daily boardings,
132,Burnaby/New Westminster,Mon-Fri,100,
132,Burnaby/New Westminster,Sat,<100 average daily boardings,
132,Burnaby/New Westminster,Sun/Hol,<100 average daily boardings,
133,Burnaby/New Westminster,Mon-Fri,1600,
133,Burnaby/New Westminster,Sat,800,
133,Burnaby/New Westminster,Sun/Hol,600,
134,Burnaby/New Westminster,Mon-Fri,900,
134,Burnaby/New Westminster,Sat,600,
134,Burnaby/New Westminster,Sun/Hol,500,
136,Burnaby/New Westminster,Mon-Fri,1000,
136,Burnaby/New Westminster,Sat,700,
136,Burnaby/New Westminster,Sun/Hol,500,
143,Northeast Sector,Mon-Fri,1600,
144,Burnaby/New Westminster,Mon-Fri,3600,
144,Burnaby/New Westminster,Sat,1800,
144,Burnaby/New Westminster,Sun/Hol,1400,
145,Burnaby/New Westminster,Mon-Fri,5200,
145,Burnaby/New Westminster,Sat,1400,
145,Burnaby/New Westminster,Sun/Hol,1000,
146,Burnaby/New Westminster,Mon-Fri,200,
146,Burnaby/New Westminster,Sat,200,
146,Burnaby/New Westminster,Sun/Hol,200,
147,Burnaby/New Westminster,Mon-Fri,900,
147,Burnaby/New Westminster,Sat,600,
147,Burnaby/New Westminster,Sun/Hol,500,
148,Burnaby/New Westminster,Mon-Fri,700,
148,Burnaby/New Westminster,Sat,400,
148,Burnaby/New Westminster,Sun/Hol,300,
151,Northeast Sector,Mon-Fri,900,
151,Northeast Sector,Sat,500,
151,Northeast Sector,Sun/Hol,400,
152,Northeast Sector,Mon-Fri,2000,
152,Northeast Sector,Sat,1100,
152,Northeast Sector,Sun/Hol,800,
153,Northeast Sector,Mon-Fri,1800,
153,Northeast Sector,Sat,600,
153,Northeast Sector,Sun/Hol,600,
155,Burnaby/New Westminster,Mon-Fri,1500,
155,Burnaby/New Westminster,Sat,1000,
155,Burnaby/New Westminster,Sun/Hol,700,
156,Northeast Sector,Mon-Fri,1600,
156,Northeast Sector,Sat,1000,
156,Northeast Sector,Sun/Hol,500,
157,Northeast Sector,Mon-Fri,900,
157,Northeast Sector,Sat,500,
157,Northeast Sector,Sun/Hol,500,
159,Northeast Sector,Mon-Fri,1800,
159,Northeast Sector,Sat,1100,
159,Northeast Sector,Sun/Hol,600,
160,Northeast Sector,Mon-Fri,2700,
160,Northeast Sector,Sat,2000,
160,Northeast Sector,Sun/Hol,1600,
169,Northeast Sector,Mon-Fri,600,
169,Northeast Sector,Sat,700,
169,Northeast Sector,Sun/Hol,700,
170,Northeast Sector,Mon-Fri,300,
170,Northeast Sector,Sat,100,
170,Northeast Sector,Sun/Hol,100,
171,Northeast Sector,Mon-Fri,500,
171,Northeast Sector,Sat,300,
171,Northeast Sector,Sun/Hol,200,
172,Northeast Sector,Mon-Fri,700,
172,Northeast Sector,Sat,400,
172,Northeast Sector,Sun/Hol,200,
173,Northeast Sector,Mon-Fri,500,
173,Northeast Sector,Sat,300,
173,Northeast Sector,Sun/Hol,200,
174,Northeast Sector,Mon-Fri,400,
174,Northeast Sector,Sat,200,
174,Northeast Sector,Sun/Hol,100,
175,Northeast Sector,Mon-Fri,300,
180,Northeast Sector,Mon-Fri,1700,
180,Northeast Sector,Sat,800,
180,Northeast Sector,Sun/Hol,600,
181,Northeast Sector,Mon-Fri,100,
181,Northeast Sector,Sat,100,
181,Northeast Sector,Sun/Hol,<100 average daily boardings,
182,Northeast Sector,Mon-Fri,200,
182,Northeast Sector,Sat,100,
182,Northeast Sector,Sun/Hol,100,
183,Northeast Sector,Mon-Fri,1100,
183,Northeast Sector,Sat,500,
183,Northeast Sector,Sun/Hol,400,
184,Northeast Sector,Mon-Fri,200,
184,Northeast Sector,Sat,100,
184,Northeast Sector,Sun/Hol,100,
185,Northeast Sector,Mon-Fri,300,
185,Northeast Sector,Sat,100,
185,Northeast Sector,Sun/Hol,100,
186,Northeast Sector,Mon-Fri,500,
186,Northeast Sector,Sat,300,
186,Northeast Sector,Sun/Hol,200,
