Mode/Line,DayType,Station,AvgDailyBoardings
Expo/Millennium Lines,Sat,Gilmore Station,1100
Expo/Millennium Lines,Sat,Granville Station,6800
Expo/Millennium Lines,Sat,Holdom Station,1000
Expo/Millennium Lines,Sat,Inlet Centre Station,700
Expo/Millennium Lines,Sat,Joyce–Collingwood Station,6900
Expo/Millennium Lines,Sat,King George Station,4800
Expo/Millennium Lines,Sat,Lafarge Lake-Douglas Station,600
Expo/Millennium Lines,Sat,Lake City Way Station,300
Expo/Millennium Lines,Sat,Lincoln Station,1600
Expo/Millennium Lines,Sat,Lougheed Town Centre Station,4300
Expo/Millennium Lines,Sat,Main Street–Science World Station,4600
Expo/Millennium Lines,Sat,Metrotown Station,11100
Expo/Millennium Lines,Sat,Moody Centre Station,900
Expo/Millennium Lines,Sat,Nanaimo Station,2700
Expo/Millennium Lines,Sat,New Westminster Station,6000
Expo/Millennium Lines,Sat,Patterson Station,1800
Expo/Millennium Lines,Sat,Production Way–University Station,1100
Expo/Millennium Lines,Sat,Renfrew Station,1300
Expo/Millennium Lines,Sat,Royal Oak Station,2000
Expo/Millennium Lines,Sat,Rupert Station,1400
Expo/Millennium Lines,Sat,Sapperton Station,900
Expo/Millennium Lines,Sat,Scott Road Station,3900
Expo/Millennium Lines,Sat,Sperling–Burnaby Lake Station,600
Expo/Millennium Lines,Sat,Stadium–Chinatown Station,4800
Expo/Millennium Lines,Sat,Surrey Central Station,5800
Expo/Millennium Lines,Sat,VCC–Clark Station,700
Expo/Millennium Lines,Sat,Waterfront Station,4400
Expo/Millennium Lines,Sun/Hol,22nd Street Station,3000
Expo/Millennium Lines,Sun/Hol,29th Avenue Station,2300
Expo/Millennium Lines,Sun/Hol,Braid Station,1100
Expo/Millennium Lines,Sun/Hol,Brentwood Town Centre Station,1200
Expo/Millennium Lines,Sun/Hol,Burquitlam Station,1200
Expo/Millennium Lines,Sun/Hol,Burrard Station,4400
Expo/Millennium Lines,Sun/Hol,Columbia Station,1300
Expo/Millennium Lines,Sun/Hol,Commercial–Broadway Station,6400
Expo/Millennium Lines,Sun/Hol,Coquitlam Central Station,1300
Expo/Millennium Lines,Sun/Hol,Edmonds Station,3100
Expo/Millennium Lines,Sun/Hol,Gateway Station,1800
Expo/Millennium Lines,Sun/Hol,Gilmore Station,700
Expo/Millennium Lines,Sun/Hol,Granville Station,4900
Expo/Millennium Lines,Sun/Hol,Holdom Station,700
Expo/Millennium Lines,Sun/Hol,Inlet Centre Station,500
Expo/Millennium Lines,Sun/Hol,Joyce–Collingwood Station,5400
Expo/Millennium Lines,Sun/Hol,King George Station,3700
Expo/Millennium Lines,Sun/Hol,Lafarge Lake-Douglas Station,500
Expo/Millennium Lines,Sun/Hol,Lake City Way Station,200
Expo/Millennium Lines,Sun/Hol,Lincoln Station,1200
Expo/Millennium Lines,Sun/Hol,Lougheed Town Centre Station,3000
Expo/Millennium Lines,Sun/Hol,Main Street–Science World Station,3400
Expo/Millennium Lines,Sun/Hol,Metrotown Station,8600
Expo/Millennium Lines,Sun/Hol,Moody Centre Station,600
Expo/Millennium Lines,Sun/Hol,Nanaimo Station,2100
Expo/Millennium Lines,Sun/Hol,New Westminster Station,4300
Expo/Millennium Lines,Sun/Hol,Patterson Station,1300
Expo/Millennium Lines,Sun/Hol,Production Way–University Station,700
Expo/Millennium Lines,Sun/Hol,Renfrew Station,1000
Expo/Millennium Lines,Sun/Hol,Royal Oak Station,1400
Expo/Millennium Lines,Sun/Hol,Rupert Station,1100
Expo/Millennium Lines,Sun/Hol,Sapperton Station,600
Expo/Millennium Lines,Sun/Hol,Scott Road Station,3100
Expo/Millennium Lines,Sun/Hol,Sperling–Burnaby Lake Station,500
Expo/Millennium Lines,Sun/Hol,Stadium–Chinatown Station,3600
Expo/Millennium Lines,Sun/Hol,Surrey Central Station,4500
Expo/Millennium Lines,Sun/Hol,VCC–Clark Station,500
Expo/Millennium Lines,Sun/Hol,Waterfront Station,3200
West Coast Express,Mon-Fri,Coquitlam Central Station ,200
West Coast Express,Mon-Fri,Maple Meadows Station,100
West Coast Express,Mon-Fri,Mission City Station,200
West Coast Express,Mon-Fri,Moody Centre Station,200
West Coast Express,Mon-Fri,Pitt Meadows Station,100
West Coast Express,Mon-Fri,Port Coquitlam Station,200
West Coast Express,Mon-Fri,Port Haney Station,100
West Coast Express,Mon-Fri,Waterfront Station,800
