Mode/Line,DayType,Station,AvgDailyBoardings
Expo/Millennium Lines,Sat,Gilmore Station,1400
Expo/Millennium Lines,Sat,Granville Station,9800
Expo/Millennium Lines,Sat,Holdom Station,1300
Expo/Millennium Lines,Sat,Inlet Centre Station,900
Expo/Millennium Lines,Sat,Joyce–Collingwood Station,8800
Expo/Millennium Lines,Sat,King George Station,6000
Expo/Millennium Lines,Sat,Lafarge Lake-Douglas Station,900
Expo/Millennium Lines,Sat,Lake City Way Station,400
Expo/Millennium Lines,Sat,Lincoln Station,2100
Expo/Millennium Lines,Sat,Lougheed Town Centre Station,5200
Expo/Millennium Lines,Sat,Main Street–Science World Station,6100
Expo/Millennium Lines,Sat,Metrotown Station,14200
Expo/Millennium Lines,Sat,Moody Centre Station,1100
Expo/Millennium Lines,Sat,Nanaimo Station,3700
Expo/Millennium Lines,Sat,New Westminster Station,7300
Expo/Millennium Lines,Sat,Patterson Station,2100
Expo/Millennium Lines,Sat,Production Way–University Station,1500
Expo/Millennium Lines,Sat,Renfrew Station,1500
Expo/Millennium Lines,Sat,Royal Oak Station,2600
Expo/Millennium Lines,Sat,Rupert Station,1500
Expo/Millennium Lines,Sat,Sapperton Station,1200
Expo/Millennium Lines,Sat,Scott Road Station,5200
Expo/Millennium Lines,Sat,Sperling–Burnaby Lake Station,800
Expo/Millennium Lines,Sat,Stadium–Chinatown Station,7700
Expo/Millennium Lines,Sat,Surrey Central Station,7100
Expo/Millennium Lines,Sat,VCC–Clark Station,900
Expo/Millennium Lines,Sat,Waterfront Station,7800
Expo/Millennium Lines,Sun/Hol,22nd Street Station,3700
Expo/Millennium Lines,Sun/Hol,29th Avenue Station,2800
Expo/Millennium Lines,Sun/Hol,Braid Station,1400
Expo/Millennium Lines,Sun/Hol,Brentwood Town Centre Station,2200
Expo/Millennium Lines,Sun/Hol,Burquitlam Station,1400
Expo/Millennium Lines,Sun/Hol,Burrard Station,6000
Expo/Millennium Lines,Sun/Hol,Columbia Station,1600
Expo/Millennium Lines,Sun/Hol,Commercial–Broadway Station,8300
Expo/Millennium Lines,Sun/Hol,Coquitlam Central Station,1700
Expo/Millennium Lines,Sun/Hol,Edmonds Station,3800
Expo/Millennium Lines,Sun/Hol,Gateway Station,2100
Expo/Millennium Lines,Sun/Hol,Gilmore Station,900
